Issue Date
Flags:  0=Forecast, 1=Estimated, 2=Observed

Date_Time                   F10          Kp     F10Flag      KpFlag  F10_41dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz      SW_Den
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2013-03-14T12:00:00Z 121.6500000   2.6670000           2           1 111.6923529   1.0667333  12.0130000          -1  12.0130000          -1   3.8320491 268.8766973 310.2000000  -0.0500000  15.2900000
2013-03-14T12:01:00Z 121.6502083   2.6614444           2           1 111.6925825   1.0672274  11.8090000          -1  11.8090000          -1   3.9298982 268.2642954 308.6000000  -0.0800000  14.6000000
2013-03-14T12:02:00Z 121.6504167   2.6558889           2           1 111.6928121   1.0677215  11.7070000          -1  11.7070000          -1   4.1612498       270.0 308.6000000        -0.0  14.6000000
2013-03-14T12:03:00Z 121.6506250   2.6503333           2           1 111.6930417   1.0682156  11.7070000          -1  11.7070000          -1   4.2348081 272.8024515 308.6000000   0.1400000  14.6000000
2013-03-14T12:04:00Z 121.6508333   2.6447778           2           1 111.6932712   1.0687096  11.8090000          -1  11.8090000          -1   4.3307967 286.4641303 305.3000000   0.8600000  13.7100000
2013-03-14T12:05:00Z 121.6510417   2.6392222           2           1 111.6935008   1.0692037  11.8090000          -1  11.8090000          -1   4.3974311 280.0315777 306.4000000   0.4900000  14.1300000
2013-03-14T12:06:00Z 121.6512500   2.6336667           2           1 111.6937304   1.0696978  11.9110000          -1  11.9110000          -1   4.5122168 280.3416453 307.7000000   0.5000000  14.4100000
2013-03-14T12:07:00Z 121.6514583   2.6281111           2           1 111.6939600   1.0701919  12.0130000          -1  12.0130000          -1   4.4732427 278.7615934 306.4000000   0.4300000  14.7100000
2013-03-14T12:08:00Z 121.6516667   2.6225556           2           1 111.6941895   1.0706859  12.0130000          -1  12.0130000          -1   4.4366880 278.1015544 305.7000000   0.4000000  14.0700000
2013-03-14T12:09:00Z 121.6518750   2.6170000           2           1 111.6944191   1.0711800  11.8090000          -1  11.8090000          -1   4.5637813 276.8990482 306.2000000   0.3400000  14.3100000
2013-03-14T12:10:00Z 121.6520833   2.6114444           2           1 111.6946487   1.0716741  11.7070000          -1  11.7070000          -1   4.5707111 278.3771837 307.4000000   0.4300000  14.5900000
