Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  7.5000000000E+01 -8.5000000000E+01  7.5806625178E-01  5.3693412456E+01  1.6048309749E+01  4.1299441984E+00  7.2819909982E+00 -1.5247470369E+01  1.8945956067E+01  1.7267032691E+01  1.8008980145E+00 -1.6956055120E+01  3.4462940044E+01  2.4875026846E+01 -5.3617788941E+00 -5.3185512762E+00  4.6198552575E+00  1.3667408992E+02 -8.3876499085E+01
  8.0000000000E+01 -8.5000000000E+01 -1.7988711262E+00  5.3284690373E+01  1.7583634097E+01  3.9221703081E+00  7.5332014828E+00 -1.5183895350E+01  1.8179148072E+01  1.8220117231E+01  1.6275176441E+00 -1.9151836973E+01  3.3274410417E+01  2.5892166722E+01 -4.7483525332E+00 -5.7430387577E+00  5.2478450818E+00  1.3423272477E+02 -8.4231305273E+01
  8.5000000000E+01 -8.5000000000E+01 -5.1213813678E+00  5.2296641509E+01  1.8964376864E+01  3.6098444019E+00  7.8246989054E+00 -1.5116684335E+01  1.7161234968E+01  1.9304520455E+01  1.4508689481E+00 -2.1977736565E+01  3.1477074893E+01  2.6806096690E+01 -3.9147241729E+00 -6.3096527434E+00  5.8240955609E+00  1.3118174242E+02 -8.4548992004E+01
  9.0000000000E+01 -8.5000000000E+01 -8.9658661222E+00  5.0598500098E+01  1.9951270912E+01  3.1793537004E+00  8.1443368491E+00 -1.5046369841E+01  1.5854872992E+01  2.0489856481E+01  1.2722884917E+00 -2.5209052734E+01  2.8856718690E+01  2.7389408737E+01 -2.7910400807E+00 -6.8924119223E+00  6.3359435247E+00  1.2749923214E+02 -8.4820137441E+01
  9.5000000000E+01 -8.5000000000E+01 -1.2954046583E+01  4.8243025389E+01  2.0340349187E+01  2.6236642554E+00  8.4720109817E+00 -1.4973515802E+01  1.4238683419E+01  2.1720500970E+01  1.0931766664E+00 -2.8368977104E+01  2.5388669805E+01  2.7423829571E+01 -1.4474171520E+00 -7.3381563689E+00  6.7968587517E+00  1.2321059842E+02 -8.5034928308E+01
  1.0000000000E+02 -8.5000000000E+01 -1.6692505450E+01  4.5538347995E+01  2.0135051092E+01  1.9478457042E+00  8.7808812138E+00 -1.4898710789E+01  1.2322801605E+01  2.2917065764E+01  9.1498427008E-01 -3.0875409952E+01  2.1396572751E+01  2.6914127766E+01 -8.7742806948E-02 -7.5561717337E+00  7.2046498458E+00  1.1840755446E+02 -8.5184118087E+01
  1.0500000000E+02 -8.5000000000E+01 -2.0033669482E+01  4.2828132340E+01  1.9606819221E+01  1.1733700629E+00  9.0421645403E+00 -1.4822562021E+01  1.0162053449E+01  2.3988563278E+01  7.3919737331E-01 -3.2485388007E+01  1.7367559930E+01  2.6181813398E+01  1.1162950126E+00 -7.5701554084E+00  7.5083704698E+00  1.1325602552E+02 -8.5260351713E+01
  1.1000000000E+02 -8.5000000000E+01 -2.3018890722E+01  4.0322759374E+01  1.9006793331E+01  3.3784245599E-01  9.2327741576E+00 -1.4745692599E+01  7.8572087968E+00  2.4854453064E+01  5.6732068813E-01 -3.3313104946E+01  1.3654380833E+01  2.5524080029E+01  2.0991629716E+00 -7.4188486807E+00  7.6610852125E+00  1.0798232821E+02 -8.5259531509E+01
  1.1500000000E+02 -8.5000000000E+01 -2.5680451312E+01  3.8182383760E+01  1.8566501127E+01 -5.1161889943E-01  9.3423625111E+00 -1.4668731950E+01  5.5382358986E+00  2.5467355275E+01  4.0085976812E-01 -3.3535868956E+01  1.0476603072E+01  2.5141576204E+01  2.8288006457E+00 -7.1039370978E+00  7.6927971039E+00  1.0283597599E+02 -8.5181702875E+01
  1.2000000000E+02 -8.5000000000E+01 -2.8042523364E+01  3.6399860388E+01  1.8516736733E+01 -1.3290596888E+00  9.3756483690E+00 -1.4592310766E+01  3.3348310293E+00  2.5823743232E+01  2.4130234391E-01 -3.3369278796E+01  7.8817163442E+00  2.5179363345E+01  3.3209840922E+00 -6.6812475571E+00  7.6883818104E+00  9.8042326111E+01 -8.5031043980E+01
  1.2500000000E+02 -8.5000000000E+01 -3.0102432648E+01  3.4832147398E+01  1.8920575635E+01 -2.0790871123E+00  9.3488708350E+00 -1.4517056445E+01  1.3489235809E+00  2.5957308077E+01  9.0099242801E-02 -3.3018095396E+01  5.7800403033E+00  2.5653270125E+01  3.6458262794E+00 -6.2540718178E+00  7.6942627119E+00  9.3765791761E+01 -8.4814964594E+01
  1.3000000000E+02 -8.5000000000E+01 -3.1837758584E+01  3.3371888630E+01  1.9685657731E+01 -2.7409902166E+00  9.2831287190E+00 -1.4443584548E+01 -3.5867729742E-01  2.5921365031E+01 -5.1354692716E-02 -3.2617555726E+01  4.0579898799E+00  2.6477298461E+01  3.8794646559E+00 -5.8905950001E+00  7.7032985101E+00  9.0096545567E+01 -8.4542735953E+01
  1.3500000000E+02 -8.5000000000E+01 -3.3230033461E+01  3.2002853407E+01  2.0693367244E+01 -3.3075267354E+00  9.1984042441E+00 -1.4372494105E+01 -1.7662388683E+00  2.5771213295E+01 -1.8173919111E-01 -3.2226472473E+01  2.6366781168E+00  2.7550350965E+01  4.0702046160E+00 -5.6034422497E+00  7.6972495760E+00  8.7058779658E+01 -8.4224171406E+01
  1.4000000000E+02 -8.5000000000E+01 -3.4276702922E+01  3.0751459599E+01  2.1868168600E+01 -3.7809396124E+00  9.1102650321E+00 -1.4304362581E+01 -2.8804097327E+00  2.5553133582E+01 -2.9982619525E-01 -3.1856474151E+01  1.4678962623E+00  2.8803210200E+01  4.2411205735E+00 -5.3798352770E+00  7.6691471769E+00  8.4629809413E+01 -8.3868677440E+01
  1.4500000000E+02 -8.5000000000E+01 -3.4977886526E+01  2.9640594429E+01  2.3171969786E+01 -4.1687461506E+00  9.0290834608E+00 -1.4239737468E+01 -3.7241971042E+00  2.5300558830E+01 -4.0449603819E-01 -3.1491730324E+01  5.0953635182E-01  3.0199237378E+01  4.4067870531E+00 -5.1985842140E+00  7.6169659140E+00  8.2759924982E+01 -8.3484734250E+01
  1.5000000000E+02 -8.5000000000E+01 -3.5325156040E+01  2.8681086275E+01  2.4563856724E+01 -4.4805685720E+00  8.9607181954E+00 -1.4179133623E+01 -4.3275811902E+00  2.5034842136E+01 -4.9475177910E-01 -3.1096069586E+01 -2.8083921014E-01  3.1703439766E+01  4.5790633073E+00 -5.0336348466E+00  7.5343023598E+00  8.1387781464E+01 -8.3079710806E+01
  1.5500000000E+02 -8.5000000000E+01 -3.5319271855E+01  2.7874754173E+01  2.5973449621E+01 -4.7262112711E+00  8.9076816423E+00 -1.4123029180E+01 -4.7216089707E+00  2.4767928767E+01 -5.6973126280E-01 -3.0633850060E+01 -9.3135198740E-01  3.3253004272E+01  4.7623984463E+00 -4.8695042489E+00  7.4132057921E+00  8.0450312630E+01 -8.2659883266E+01
  1.6000000000E+02 -8.5000000000E+01 -3.4996744968E+01  2.7219439040E+01  2.7316842246E+01 -4.9146924077E+00  8.8702702787E+00 -1.4071858642E+01 -4.9352952975E+00  2.4505260698E+01 -6.2871675211E-01 -3.0097131684E+01 -1.4453549760E+00  3.4771731365E+01  4.9503744218E+00 -4.7107369607E+00  7.2456862741E+00  7.9888182644E+01 -8.2230551324E+01
  1.6500000000E+02 -8.5000000000E+01 -3.4427482504E+01  2.6720472016E+01  2.8531687087E+01 -5.0538798149E+00  8.8474434893E+00 -1.4026011302E+01 -4.9943414108E+00  2.4248192251E+01 -6.7114186274E-01 -2.9504620032E+01 -1.8033424406E+00  3.6199474876E+01  5.1253587534E+00 -4.5718212833E+00  7.0293653756E+00  7.9648243363E+01 -8.1796186345E+01
  1.7000000000E+02 -8.5000000000E+01 -3.3697223608E+01  2.6378928106E+01  2.9594442076E+01 -5.1504452015E+00  8.8374393839E+00 -1.3985828079E+01 -4.9208672890E+00  2.3995748325E+01 -6.9659596615E-01 -2.8894530985E+01 -1.9888099674E+00  3.7505807897E+01  5.2686198675E+00 -4.4654496359E+00  6.7710582242E+00  7.9684226429E+01 -8.1360576701E+01
  1.7500000000E+02 -8.5000000000E+01 -3.2874188026E+01  2.6183657166E+01  3.0529510578E+01 -5.2099693382E+00  8.8381761987E+00 -1.3951598641E+01 -4.7336353959E+00  2.3745797457E+01 -7.0482613311E-01 -2.8300674200E+01 -2.0064909586E+00  3.8704553234E+01  5.3700909071E+00 -4.3938255309E+00  6.4813821188E+00  7.9956508397E+01 -8.0926955517E+01
