Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
       3       3
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  0.0000000000E+00 -8.0000000000E+01  2.3282408798E+01  5.0872098566E+01  2.2399993373E+01  3.5425105702E+00  6.0605385336E+00 -1.4055416124E+01  2.2935514572E+01  7.4810391201E+00  5.5185474766E+00  4.0389655076E+00  3.5490750127E+01  2.9652172677E+01 -7.2345818513E+00  1.8397707857E+00  1.2846893430E+00  1.4793649801E+02 -7.4120859297E+01
  1.2000000000E+02 -8.0000000000E+01 -5.0919480364E+01 -2.1958814516E+01  2.8860851101E+01 -1.0536687347E+01  2.1683803583E+00 -1.1875593286E+01 -2.8338585566E+01  8.7122209651E+00 -9.6784663751E-01 -2.0114254873E+01 -3.2106134723E+01  2.5645900564E+01  8.0700474217E+00 -7.3328111653E-01  1.6058390462E+01  3.7974006312E+02 -8.7836833409E+01
  2.4000000000E+02 -8.0000000000E+01 -1.2517873043E+01  2.5352259148E+01  5.2227472100E+01 -5.5947346661E+00  9.4157909370E+00 -1.1004410265E+01 -5.7072360492E-01  1.6205770535E+01 -2.3261541727E-01 -1.2759886317E+01 -1.3309185525E+00  6.3613865766E+01  6.4074715446E+00  1.0616162285E+00 -1.4936798353E-01  4.4628920145E+02 -7.1951209230E+01
  0.0000000000E+00  0.0000000000E+00  1.7008178668E+00  4.0182689413E-01  2.7422157610E+00 -1.2503695157E+01  1.1822552419E+00  3.6507373329E+00  1.0151652090E+01 -4.7362804389E-01 -6.3013620206E-01  2.2753558506E+00 -2.7019211545E-01 -1.1207193981E-01  1.7775050832E+00 -3.6608188417E-02 -1.6631342998E-01  1.8346339341E+02  2.9046615064E+00
  1.2000000000E+02  0.0000000000E+00 -1.6659036419E+01  1.5891988960E+00 -2.0297717137E+00 -1.0406489492E+01 -3.4829777149E-01 -2.8007717977E+00 -5.7479180742E+00  2.2641510043E+00 -6.0632467774E-01 -1.2613838109E+00  1.4176349903E+00  1.8383772160E+00  7.5675495790E-01 -1.7442893271E+00 -4.6105245427E-01  3.0340461469E+02 -9.4955527192E+00
  2.4000000000E+02  0.0000000000E+00 -1.7886833760E+01 -1.9267544118E+00  3.6096991206E+00 -1.0747989533E+01 -4.2797343671E+00  5.4035452423E-01 -5.0720999222E+00  2.6290120490E+00  4.7711021366E-01 -3.0088339940E-01 -2.2784149825E-01  1.5887580105E+00 -1.7658609059E+00 -4.8190595442E-02  1.0034763723E+00  4.2281399336E+02  6.5630704425E+00
  0.0000000000E+00  8.0000000000E+01  6.8442708050E+01  1.4370351557E+01 -5.0232511606E-01  5.2202104676E+00  1.2661205218E+01  1.3305273592E+01  1.8453715620E+01  1.7786884502E+01 -3.3724330534E+00  4.3651969433E+01 -4.9131972816E+00  9.6700619429E+00  1.1168125295E+00 -1.1164540881E+01 -2.0105227598E+01  2.3547264234E+02  7.8361509529E+01
  1.2000000000E+02  8.0000000000E+01  5.2788518208E+01  3.5245009639E+01 -5.0923683183E+00 -1.0768644381E+01  1.2737692572E+01  8.4876047911E+00 -1.2001745463E+01  1.3200678249E+01  3.6540099442E+00  5.3010019829E+01  3.9420153828E+01  9.2773222271E+00  2.2548888224E+01 -3.0113515010E+01 -2.6511305281E+01  2.9713092431E+02  7.0389087107E+01
  2.4000000000E+02  8.0000000000E+01 -1.2623978295E+01  4.3099004230E+01 -4.1455473649E+01 -1.6831501745E+01 -6.0453497449E-01  9.4669117839E+00 -3.1778936687E+01  5.7597989996E-01  4.0270253776E+00  5.4441529869E+00  5.3541587331E+01 -2.9662019164E+01  3.0542307149E+01 -1.0414028026E+01 -2.5287391647E+01  3.5905395332E+02  8.2091018859E+01
