Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
       3       3
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  0.0000000000E+00 -8.0000000000E+01  2.4356321636E+01  5.4804953016E+01  2.7324939149E+01  3.8250600353E+00  5.9191060299E+00 -1.2655029047E+01  2.4981511705E+01  8.2773522886E+00  5.9791066355E+00  3.9282357239E+00  3.8653712591E+01  3.2577249745E+01 -8.3784858280E+00  1.9547821065E+00  1.4236118153E+00  1.4793649801E+02 -7.4120859297E+01
  1.2000000000E+02 -8.0000000000E+01 -5.4396421388E+01 -2.5178938840E+01  3.3616041844E+01 -1.0355797349E+01  2.1519697742E+00 -1.0710755331E+01 -3.1462195892E+01  9.6762299724E+00 -1.0659353630E+00 -2.1870692589E+01 -3.6077721352E+01  2.7747794729E+01  9.2922644426E+00 -9.2941723394E-01  1.7644937808E+01  3.7974006312E+02 -8.7836833409E+01
  2.4000000000E+02 -8.0000000000E+01 -1.2072715692E+01  2.6123081684E+01  5.9486241170E+01 -5.1549486976E+00  9.3105548954E+00 -9.9409894749E+00 -6.4349310522E-01  1.6827419144E+01 -2.6907564064E-01 -1.3119592426E+01 -1.4505319968E+00  6.9982251659E+01  6.8453185371E+00  1.4356396415E+00 -2.8594537382E-01  4.4628920145E+02 -7.1951209230E+01
  0.0000000000E+00  0.0000000000E+00  4.6681725644E+00  3.5050030525E-01  2.3218376046E+00 -1.0270197529E+01  1.0227703654E+00  3.1831041427E+00  1.0657739919E+01 -4.1142257507E-01 -6.0915659054E-01  2.4150696139E+00 -2.6048375754E-01 -8.4385651452E-02  1.8655605602E+00 -3.6372758512E-04 -1.6772429614E-01  1.8346339341E+02  2.9046615064E+00
  1.2000000000E+02  0.0000000000E+00 -1.6116450698E+01  1.7383485501E+00 -1.6586629177E+00 -9.6501345846E+00 -4.5535887017E-01 -2.5389451068E+00 -5.9032028794E+00  2.6041485854E+00 -6.3166901442E-01 -1.3589305513E+00  1.4908745583E+00  2.1076345624E+00  7.9581731728E-01 -1.9013157235E+00 -5.9568335899E-01  3.0340461469E+02 -9.4955527192E+00
  2.4000000000E+02  0.0000000000E+00 -1.7681285300E+01 -1.6042660777E+00  3.8115169073E+00 -1.0074337193E+01 -3.9965421750E+00  5.2559392146E-01 -5.4244042602E+00  2.6670672426E+00  4.8631584016E-01 -3.2468461576E-01 -2.1914282204E-01  1.7260674666E+00 -1.8578592312E+00 -5.5648323195E-02  1.0735396790E+00  4.2281399336E+02  6.5630704425E+00
  0.0000000000E+00  8.0000000000E+01  7.3425380716E+01  1.1054420828E+01 -2.6304483053E+00  5.2996241706E+00  1.1989286236E+01  1.2091327566E+01  2.0258263632E+01  1.9108667922E+01 -3.6556860429E+00  4.7776393380E+01 -7.6323960551E+00  1.0662803545E+01  9.1099533768E-02 -1.2411137275E+01 -2.1728893373E+01  2.3547264234E+02  7.8361509529E+01
  1.2000000000E+02  8.0000000000E+01  5.8630048775E+01  3.5934968684E+01 -5.9767944984E+00 -9.9805588629E+00  1.2368615380E+01  7.7185659139E+00 -1.2606330787E+01  1.3292545314E+01  3.7968947084E+00  5.7169675711E+01  4.2176374076E+01  1.0420142808E+01  2.4047262715E+01 -3.1902566086E+01 -2.7912397929E+01  2.9713092431E+02  7.0389087107E+01
  2.4000000000E+02  8.0000000000E+01 -1.0389236546E+01  4.6870133865E+01 -4.6202095252E+01 -1.6127031398E+01 -3.9906398567E-01  8.5717603996E+00 -3.4570673714E+01  1.0694822920E+00  4.3229749893E+00  6.9934075605E+00  5.8007976951E+01 -3.2018912668E+01  3.3315061005E+01 -1.1808261392E+01 -2.7077917972E+01  3.5905395332E+02  8.2091018859E+01
