Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
       3       3
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  0.0000000000E+00 -8.0000000000E+01  2.1335857847E+01  5.1434852958E+01  2.2707408598E+01  2.5646213416E+00  6.4035057017E+00 -1.5785708948E+01  2.3109462287E+01  8.1208910919E+00  5.5112423769E+00  2.8813203601E+00  3.5214526244E+01  3.1985149957E+01 -7.2195461427E+00  1.6959299211E+00  9.9672521232E-01  1.4577257833E+02 -7.4120859297E+01
  1.2000000000E+02 -8.0000000000E+01 -5.1580921226E+01 -2.5419836526E+01  2.6735923745E+01 -1.0612254151E+01  1.5505603987E+00 -1.3849570069E+01 -2.9828548213E+01  7.8835640991E+00 -1.0096039777E+00 -1.9569840987E+01 -3.4310265302E+01  2.5651936156E+01  8.4297221236E+00 -5.4369572234E-01  1.5943161636E+01  3.7757614345E+02 -8.7836833409E+01
  2.4000000000E+02 -8.0000000000E+01 -1.3425994537E+01  2.3865242161E+01  5.2601011772E+01 -6.7232709636E+00  9.1884531961E+00 -1.2706587621E+01 -1.8073077081E+00  1.5935105715E+01 -5.7549485862E-01 -1.1943272475E+01 -3.0519881649E+00  6.5977615210E+01  7.0478566091E+00  1.7936714147E+00 -9.4520958584E-02  4.4412528177E+02 -7.1951209230E+01
  0.0000000000E+00  0.0000000000E+00  1.9308275448E-01  4.7831674863E-01  3.0283089015E+00 -1.4223202034E+01  1.1876192217E+00  3.9642580126E+00  1.0277325110E+01 -4.2359738538E-01 -6.8136153919E-01  2.3944587066E+00 -2.8273349208E-01 -9.1956706279E-02  1.7445009714E+00 -2.9715956382E-03 -1.6263086559E-01  1.8129947374E+02  2.9046615064E+00
  1.2000000000E+02  0.0000000000E+00 -1.8271202526E+01  1.5327363756E+00 -2.4827897562E+00 -1.2346992484E+01 -2.5706532015E-01 -3.3361575432E+00 -5.3218329244E+00  2.3233645004E+00 -5.0966281473E-01 -1.3258296610E+00  1.3538458404E+00  1.9789749451E+00  7.2345254271E-01 -1.8874086451E+00 -6.1594434335E-01  3.0124069501E+02 -9.4955527192E+00
  2.4000000000E+02  0.0000000000E+00 -2.0429176226E+01 -1.9749306346E+00  4.0758924902E+00 -1.2684983728E+01 -4.3826017241E+00  7.4710531877E-01 -5.5809407021E+00  2.7289455420E+00  5.5299383799E-01 -4.3176462801E-01 -2.6084946401E-01  1.7619771177E+00 -1.7314871674E+00 -6.0424988458E-02  1.0138162157E+00  4.2065007369E+02  6.5630704425E+00
  0.0000000000E+00  8.0000000000E+01  7.0616644308E+01  1.0615084804E+01  2.4730434603E-01  5.3591359535E+00  1.2509853148E+01  1.5122230429E+01  2.0140075261E+01  1.7699651467E+01 -3.6659293305E+00  4.5007144948E+01 -7.9819450863E+00  9.4857749559E+00  1.1028814533E-01 -1.1612474725E+01 -2.0694771708E+01  2.3330872267E+02  7.8361509529E+01
  1.2000000000E+02  8.0000000000E+01  5.5431388603E+01  3.3965428980E+01 -2.8162410316E+00 -1.1009305822E+01  1.3081603661E+01  1.0306809290E+01 -1.0848466466E+01  1.3352735910E+01  3.3144842831E+00  5.5245062956E+01  3.8322025224E+01  1.0834498206E+01  2.2044097935E+01 -3.0790935816E+01 -2.7272032811E+01  2.9496700464E+02  7.0389087107E+01
  2.4000000000E+02  8.0000000000E+01 -9.5688578641E+00  4.6099644488E+01 -4.0543638128E+01 -1.7206500315E+01 -9.7390373355E-02  1.1203017888E+01 -3.3256936997E+01  2.0911375539E+00  4.1874210743E+00  8.5484954172E+00  5.6464463478E+01 -2.9881312943E+01  3.2346084031E+01 -1.2358566171E+01 -2.6052764148E+01  3.5689003365E+02  8.2091018859E+01
