Adjusted F10.7 flux from the LASP penticton radio data

Downloaded from 1965/01/01 in csv format
https://lasp.colorado.edu/lisird/data/penticton_radio_flux/

Converted with IDL:
logfilename='penticton_radio_flux.csv'
read_log_data
jul2greg, wlog(*,0), month, day, year, hour, minute
openw,1,'f107new.txt'
for i=0,n_elements(year)-1 do $
   printf,1,year(i),month(i),day(i),hour(i),minute(i),wlog(i,1), $
   format='(i4,4i3,f7.1)'
close,1

year mo dy hr mn f107
#START
1965  7 17 16 48   74.3
1965  7 18 16 48   74.3
1965  7 19 16 48   74.9
1965  7 20 16 48   75.4
1965  7 21 16 48   74.9
1965  7 22 16 48   73.8
1965  7 23 16 48   73.2
1965  7 24 16 48   72.3
1965  7 25 16 48   72.2
1965  7 26 16 48   71.6
1965  7 27 16 48   72.2
1965  7 28 16 48   72.8
1965  7 29 16 48   73.3
1965  7 30 16 48   73.3
1965  7 31 16 48   72.8
1965  8  1 16 48   74.2
1965  8  2 16 48   75.2
1965  8  3 16 48   79.6
1965  8  4 16 48   80.7
1965  8  5 16 48   78.5
1965  8  6 16 48   81.0
1965  8  7 16 48   81.8
1965  8  8 16 48   79.4
1965  8  9 16 48   79.7
1965  8 10 16 48   78.2
1965  8 11 16 48   78.8
1965  8 12 16 48   77.9
1965  8 13 16 48   76.8
1965  8 14 16 48   75.6
1965  8 15 16 48   74.3
1965  8 16 16 48   75.6
1965  8 17 16 48   74.2
1965  8 18 16 48   75.0
1965  8 19 16 48   76.1
1965  8 20 16 48   75.4
1965  8 21 16 48   75.3
1965  8 22 16 48   74.5
1965  8 23 16 48   74.6
1965  8 24 16 48   74.3
1965  8 25 16 48   73.7
1965  8 26 16 48   73.5
1965  8 27 16 48   76.0
1965  8 28 16 48   74.7
1965  8 29 16 48   75.6
1965  8 30 16 48   76.4
1965  8 31 16 48   76.3
1965  9  1 16 48   76.9
1965  9  2 16 48   77.3
1965  9  3 16 48   78.0
1965  9  4 16 48   78.1
1965  9  5 16 48   80.1
1965  9  6 16 48   78.4
1965  9  7 16 48   79.0
1965  9  8 16 48   79.8
1965  9  9 16 48   77.3
1965  9 10 16 48   76.7
1965  9 11 16 48   76.8
1965  9 12 16 48   76.3
1965  9 13 16 48   76.0
1965  9 14 16 48   76.2
1965  9 15 16 48   75.9
1965  9 16 16 48   74.7
1965  9 17 16 48   74.7
1965  9 18 16 48   73.9
1965  9 19 16 48   73.6
1965  9 20 16 48   73.6
1965  9 21 16 48   73.2
1965  9 22 16 48   71.9
1965  9 23 16 48   72.5
1965  9 24 16 48   76.8
1965  9 25 16 48   76.5
1965  9 26 16 48   77.7
1965  9 27 16 48   79.0
1965  9 28 16 48   81.1
1965  9 29 16 48   87.9
1965  9 30 16 48   89.5
1965 10  1 16 48   92.6
1965 10  2 16 48   93.7
1965 10  3 16 48   96.5
1965 10  4 16 48   97.9
1965 10  5 16 48   91.9
1965 10  6 16 48   85.5
1965 10  7 16 48   83.9
1965 10  8 16 48   83.1
1965 10  9 16 48   83.6
1965 10 10 16 48   80.5
1965 10 11 16 48   76.1
1965 10 12 16 48   74.9
1965 10 13 16 48   75.8
1965 10 14 16 48   74.7
1965 10 15 16 48   73.8
1965 10 16 16 48   72.3
1965 10 17 16 48   72.5
1965 10 18 16 48   72.1
1965 10 19 16 48   71.7
1965 10 20 16 48   72.5
1965 10 21 16 48   73.1
1965 10 22 16 48   76.0
1965 10 23 16 48   78.5
1965 10 24 16 48   76.0
1965 10 25 16 48   77.6
1965 10 26 16 48   77.8
1965 10 27 16 48   77.6
1965 10 28 16 48   76.8
1965 10 29 16 48   76.2
1965 10 30 16 48   75.7
1965 10 31 16 48   77.5
1965 11  1 16 48   78.3
1965 11  2 16 48   78.9
1965 11  3 16 48   80.6
1965 11  4 16 48   79.2
1965 11  5 16 48   77.3
1965 11  6 16 48   80.0
1965 11  7 16 48   84.4
1965 11  8 16 48   79.7
1965 11  9 16 48   81.3
1965 11 10 16 48   83.3
1965 11 11 16 48   83.4
1965 11 12 16 48   79.9
1965 11 13 16 48   76.4
1965 11 14 16 48   75.1
1965 11 15 16 48   75.7
1965 11 16 16 48   73.2
1965 11 17 16 48   73.5
1965 11 18 16 48   74.1
1965 11 19 16 48   72.5
1965 11 20 16 48   71.8
1965 11 21 16 48   71.3
1965 11 22 16 48   71.0
1965 11 23 16 48   70.5
1965 11 24 16 48   70.4
1965 11 25 16 48   69.6
1965 11 26 16 48   70.9
1965 11 27 16 48   73.1
1965 11 28 16 48   75.9
1965 11 29 16 48   72.9
1965 11 30 16 48   74.0
1965 12  1 16 48   74.5
1965 12  2 16 48   74.0
1965 12  3 16 48   73.9
1965 12  4 16 48   73.4
1965 12  5 16 48   74.4
1965 12  6 16 48   75.1
1965 12  7 16 48   74.2
1965 12  8 16 48   75.7
1965 12  9 16 48   73.9
1965 12 10 16 48   74.2
1965 12 11 16 48   74.4
1965 12 12 16 48   74.7
1965 12 13 16 48   72.9
1965 12 14 16 48   73.5
1965 12 15 16 48   75.6
1965 12 16 16 48   76.5
1965 12 17 16 48   77.3
1965 12 18 16 48   77.3
1965 12 19 16 48   75.6
1965 12 20 16 48   73.4
1965 12 21 16 48   73.0
1965 12 22 16 48   71.1
1965 12 23 16 48   71.5
1965 12 24 16 48   70.0
1965 12 25 16 48   70.9
1965 12 26 16 48   75.6
1965 12 27 16 48   82.3
1965 12 28 16 48   82.4
1965 12 29 16 48   83.3
1965 12 30 16 48   80.4
1965 12 31 16 48   79.4
1966  1  1 16 48   79.3
1966  1  2 16 48   76.3
1966  1  3 16 48   75.9
1966  1  4 16 48   77.8
1966  1  5 16 48   77.3
1966  1  6 16 48   77.1
1966  1  7 16 48   78.2
1966  1  8 16 48   77.9
1966  1  9 16 48   77.5
1966  1 10 16 48   77.2
1966  1 11 16 48   78.2
1966  1 12 16 48   81.3
1966  1 13 16 48   84.4
1966  1 14 16 48   90.2
1966  1 15 16 48   98.6
1966  1 16 16 48  102.6
1966  1 17 16 48   98.4
1966  1 18 16 48  101.5
1966  1 19 16 48  105.2
1966  1 20 16 48   99.1
1966  1 21 16 48   95.8
1966  1 22 16 48   91.7
1966  1 23 16 48   90.6
1966  1 24 16 48   89.0
1966  1 25 16 48   85.4
1966  1 26 16 48   82.8
1966  1 27 16 48   79.9
1966  1 28 16 48   78.1
1966  1 29 16 48   78.3
1966  1 30 16 48   76.4
1966  1 31 16 48   75.4
1966  2  1 16 48   77.6
1966  2  2 16 48   76.9
1966  2  3 16 48   77.5
1966  2  4 16 48   79.0
1966  2  5 16 48   80.6
1966  2  6 16 48   82.2
1966  2  7 16 48   82.8
1966  2  8 16 48   82.3
1966  2  9 16 48   83.0
1966  2 10 16 48   83.8
1966  2 11 16 48   83.6
1966  2 12 16 48   83.2
1966  2 13 16 48   84.0
1966  2 14 16 48   84.0
1966  2 15 16 48   83.3
1966  2 16 16 48   82.7
1966  2 17 16 48   82.2
1966  2 18 16 48   82.2
1966  2 19 16 48   81.1
1966  2 20 16 48   82.8
1966  2 21 16 48   85.7
1966  2 22 16 48   86.1
1966  2 23 16 48   82.8
1966  2 24 16 48   82.0
1966  2 25 16 48   79.3
1966  2 26 16 48   83.2
1966  2 27 16 48   83.2
1966  2 28 16 48   84.1
1966  3  1 16 48   79.7
1966  3  2 16 48   76.6
1966  3  3 16 48   75.8
1966  3  4 16 48   75.4
1966  3  5 16 48   74.8
