Observation time: 1998.05.01_11:12:30
Central Carrington longitude: 135.1
B0 angle & Nmax:       -4.1948652          90
      19       6    -0.835924    -0.244662
      19       7    -0.885456     0.452278
      19       8     0.501681    -0.334278
      19       9     0.568134    -0.658750
      19      10    -0.747602    -0.557405
      19      11    -0.783007    -0.649580
      19      12     0.531786     0.100137
      19      13      5.12773     -4.01938
      19      14      1.41464     -2.50773
      19      15     -2.36435     -1.09387
      19      16    -0.436281    -0.468154
      19      17      4.90196      3.57295
      19      18      2.45425   -0.0514227
      19      19    -0.549378    -0.717813
      20       0    -0.103327      0.00000
      20       1    -0.743547     -2.18158
      20       2 -0.000993777      1.44579
      20       3     -1.72547     0.657680
      20       4     -1.12000      1.82667
      20       5    -0.656218     0.541205
      20       6     0.659463     -1.22808
      20       7   -0.0642131     -2.09947
      20       8    -0.810436     0.808786
      20       9    -0.652582      1.06522
      20      10      1.97125      1.58192
      20      11    -0.477621    -0.468974
      20      12      1.28812     0.665064
      20      13     -2.29611      4.48526
      20      14     -1.50182      1.84698
      20      15      4.62608     0.731971
      20      16    -0.716946     -3.53559
      20      17     0.960136   -0.0649066
      20      18     -2.57991      4.64381
      20      19    -0.982134    -0.206202
      20      20     -1.94290     0.990132
      21       0      2.40386      0.00000
      21       1   -0.0221213     0.579395
      21       2     0.386597     -1.82573
      21       3    -0.560660     0.534815
      21       4    -0.742189     0.238400
      21       5      2.95373      1.61766
      21       6     0.845648    -0.734287
      21       7      3.62372      1.25038
      21       8    -0.288048     0.440453
      21       9    -0.605720     0.721829
      21      10    -0.711691    -0.965389
      21      11     0.564985     -1.31650
      21      12     -1.43936      1.87121
      21      13     -1.72865    -0.145145
      21      14     -2.79967      2.94140
      21      15     -2.37659     -2.15275
      21      16     0.500313      2.53424
      21      17      3.28754    -0.513653
      21      18     -3.30095      1.33518
      21      19     -4.25211     -3.14717
      21      20      3.90592      2.38401
      21      21   -0.0125529    -0.586116
      22       0     -2.19111      0.00000
      22       1    -0.313716      2.52762
      22       2     0.204529      1.46007
      22       3     0.701061    -0.529215
      22       4      2.46652     -1.71837
      22       5     -1.32169     -2.06137
      22       6    -0.533419      1.31031
      22       7    -0.396527      1.41553
      22       8    -0.149811     -1.57114
      22       9    -0.381561    -0.646359
      22      10     -1.04647     -3.98263
      22      11     0.418962     -1.29298
      22      12      1.54561    -0.515192
      22      13      2.95125    -0.309999
      22      14      1.82175     -1.16856
      22      15     -3.77395     -3.55711
      22      16  -0.00778227     0.110820
      22      17      1.20859      3.10597
      22      18      3.12225     0.647645
      22      19      1.72642     -1.89471
      22      20     -4.56728      2.93697
      22      21     -2.61006     -1.09883
      22      22     -2.11554     -1.16067
      23       0     -1.46251      0.00000
      23       1     -1.15575     -1.15737
      23       2     0.165501     0.976794
      23       3     -1.57702     0.246010
      23       4     0.589419     0.684490
