Coefficients order=90 center=CT2039:180
Observation time: 2006.02.01_14:17:32
B0 angle & Nmax:        0          90





Max Harmonic Order:90   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
      19       3     0.277712     -1.08942
      19       4      1.29289    -0.173687
      19       5     0.703051     -2.69903
      19       6     0.276800    -0.706512
      19       7    -0.218875     -1.33202
      19       8    -0.602294    -0.581447
      19       9     -1.24437      1.04216
      19      10     -1.71298     -2.06017
      19      11     -2.04974     0.904237
      19      12      2.03774     0.435234
      19      13     0.129310    -0.262885
      19      14     0.368043      3.32533
      19      15     0.232460     -1.82484
      19      16     -1.03616    -0.850958
      19      17      2.28784     -1.01673
      19      18     -3.95431      5.93616
      19      19     -1.34649     -1.73872
      20       0     0.391142      0.00000
      20       1    -0.320076    -0.684880
      20       2     0.483440     0.718255
      20       3    -0.461424     -1.30962
      20       4     -1.89602    -0.695809
      20       5    -0.306488     -1.35230
      20       6     -2.52323     0.104958
      20       7     -1.93199    -0.586906
      20       8    -0.633138      1.48241
      20       9     -3.02745      1.31041
      20      10     0.951413      4.13441
      20      11     -2.24980    -0.232814
      20      12     0.676065     0.964611
      20      13      1.48186     -2.35051
      20      14    -0.641330    -0.612012
      20      15     0.877830      3.37093
      20      16     -4.00283     0.737905
      20      17     -3.17325      2.68135
      20      18      1.59559     -2.86880
      20      19      3.20609      6.45534
      20      20     -2.32929     -4.04573
      21       0    -0.141734      0.00000
      21       1     0.561305    -0.603392
      21       2     -1.14582    -0.121917
      21       3     0.426022     0.472022
      21       4    -0.408850    0.0635613
      21       5    -0.993294      1.31721
      21       6     0.441845    -0.178534
      21       7    0.0960536     0.673317
      21       8    -0.240876      1.15325
      21       9      1.37715    -0.549794
      21      10     0.982806      1.31118
      21      11      2.69923  -0.00540869
      21      12    -0.218169   -0.0656700
      21      13     -1.25680     0.298466
      21      14     0.851995     -4.20706
      21      15     -1.68903    -0.252064
      21      16      3.21811     0.711424
      21      17    0.0420261     0.880120
      21      18    -0.350517      2.49504
      21      19    -0.112563     -4.63621
      21      20      2.71230      3.24814
      21      21     -1.67102     0.161734
      22       0    0.0263034      0.00000
      22       1     0.484251     0.939584
      22       2     0.275523    -0.530884
      22       3    -0.173323      1.19455
      22       4      1.22650     0.527429
      22       5     0.114348   -0.0499637
      22       6      1.32082     0.957269
      22       7      2.51219     0.748246
      22       8     0.778823     -1.05939
      22       9      1.98046     0.843371
      22      10     -1.05870     -4.07344
      22      11     0.278969     0.195942
      22      12     0.631569     -2.45443
      22      13    -0.460271     0.185724
      22      14    -0.516206      2.44585
      22      15    -0.284887     -3.09366
      22      16      1.08278    -0.646205
      22      17      5.40687     -2.25666
      22      18    -0.106577    -0.628937
      22      19    -0.350038      1.55903
      22      20     -3.73213     -4.61928
      22      21      4.54714      1.02984
      22      22     0.975547      1.70128
      23       0      1.03760      0.00000
      23       1    -0.509553   -0.0792145
      23       2      1.10597     0.691921
      23       3     0.445090     -1.02733
      23       4     0.137798     0.233070
      23       5      1.54649    -0.997459
      23       6    -0.954591     -1.66082
      23       7     0.104421    -0.907245
      23       8     0.795354     -1.20309
      23       9     -1.52231     0.825887
      23      10    -0.934090     0.405361
      23      11     -2.70352    -0.327969
      23      12     -2.48010     0.877247
      23      13      2.21012     -1.10198
      23      14     -1.96181      2.06252
      23      15      2.40866      2.46913
      23      16     -1.74075    -0.675253
      23      17     -1.73928    -0.921656
      23      18      2.23957     -4.41831
      23      19     -1.07619      1.85659
      23      20      1.98960      2.85225
