#COORD
GEO

Name	GEOLAT	GEOLON	MAGLAT	MAGLON
#START
AAA	43.25	76.92	38.83	150.22
ABK	68.35	18.82	65.74	101.7
AMS	-37.8	77.57	-48.87	140.23
AND	69.3	16.03	66.86	100.22
API	-13.8	188.22	-15.5	263.54
ARS	56.43	58.57	52.9	132.43
ASC	-7.95	345.62	-16.34	56.97
ASP	-23.77	133.88	-33.67	208.07
BBG	78.07	14.23	75.62	109.7
BDV	49.07	14.02	44.35	89.64
BEL	51.83	20.8	47.71	96.27
BFE	55.62	11.67	52.27	89.56
BJN	74.5	19.2	71.89	107.71
BLC	64.33	263.97	73.61	329.91
BMT	40.3	116.2	34.69	189.99
BOU	40.13	254.77	48.51	321.32
BOX	58.03	38.97	54.54	114.2
BRD	49.87	260.03	59.2	326.96
BRW	71.3	203.25	70.6	253.43
BSL	30.35	270.37	40.69	342.12
C01	42.42	276.1	52.65	350.42
C02	57.71	265.79	67.48	334.4
C06	53.35	247.03	60.64	308.76
C07	65.26	233.31	69.85	286.53
C12	49.69	256.2	58.49	321.68
C13	51.88	239.97	57.77	300.7
CBB	69.1	255.0	77.04	312.25
CDC	64.2	283.4	73.47	3.04
CEB	10.36	123.91	2.66	196.32
CKI	-12.19	96.84	-22.26	168.9
CLF	48.02	2.27	43.11	79.42
CMO	64.87	212.14	65.45	266.18
CNB	-34.1	150.7	-43.54	228.89
CSY	-66.28	110.53	-80.93	158.16
CTA	-20.1	146.3	-28.92	221.27
CYG	36.37	126.85	29.94	200.35
CZT	-46.43	51.87	-53.23	107.41
DED	70.36	211.21	70.87	260.73
DIK	73.55	80.57	69.36	156.64
DLT	11.94	108.48	4.3	181.12
DOB	62.07	9.11	59.64	90.19
DON	66.11	12.5	63.75	95.19
DRV	-66.67	140.01	-80.6	237.01
DRW	-12.4	130.9	-21.31	203.98
DUR	41.39	14.28	34.49	88.38
EBR	40.82	0.49	33.11	76.44
ESK	55.32	356.8	52.74	77.25
EYR	-43.4	172.4	-49.89	257.26
FCC	58.76	265.92	68.5	334.43
FMC	56.66	248.79	64.28	309.98
FRD	38.2	282.63	48.05	359.36
FRN	37.1	240.3	42.65	305.13
FSP	61.76	238.77	67.47	295.11
FUR	48.17	11.28	43.2	87.05
GAN	0.69	73.15	-7.77	145.72
GDH	69.25	306.47	75.25	39.39
GHC	68.6	264.1	77.51	328.24
GIM	56.38	265.36	66.16	333.92
GNG	-31.36	115.71	-43.08	187.86
GUA	13.59	144.87	5.64	216.9
GUI	28.32	343.57	16.06	60.99
HAD	50.98	355.52	47.37	74.74
HAN	62.3	26.65	59.17	104.78
HBK	-25.88	27.71	-35.51	96.36
HER	-34.43	19.23	-42.08	84.09
HLP	54.61	18.82	50.93	95.32
HON	21.32	202.0	20.88	270.9
HOP	76.51	25.01	73.53	114.59
HRB	47.86	18.19	42.92	93.03
HRN	77.0	15.6	74.52	108.72
HUA	-12.05	284.67	1.17	357.25
HYB	17.4	78.6	10.36	151.87
INK	68.25	226.7	71.5	276.95
IPM	-27.2	250.58	-19.28	327.7
IQA	63.75	291.48	72.21	15.58
IRT	52.17	104.45	47.79	178.45
IVA	68.56	27.29	65.6	108.61
JAI	26.92	75.8	21.02	149.2
JAN	70.9	351.3	70.47	82.78
JCK	66.4	16.98	63.82	98.94
JCO	70.36	211.2	70.86	260.73
KAG	31.48	130.72	24.56	203.83
KAK	36.23	140.18	29.12	212.95
KAR	59.21	5.24	56.7	85.69
KDU	-12.69	132.47	-21.59	205.63
KEP	-54.28	323.51	-45.16	25.94
KEV	69.76	27.01	66.82	109.22
KHB	47.61	134.69	41.44	208.09
KIL	69.02	20.79	66.33	103.74
KNY	31.42	130.88	24.49	203.99
KOU	5.21	307.27	8.62	24.46
KTB	-0.2	100.32	-9.01	172.96
KTN	75.94	137.71	70.98	202.81
LER	60.13	358.82	58.2	80.96
LET	49.64	247.13	56.88	309.93
LKW	6.3	99.78	-2.0	172.47
LON	45.41	16.66	39.82	91.18
LOZ	67.97	35.08	64.77	114.65
LRM	-21.0	115.0	-31.41	187.65
LYC	64.61	18.75	61.87	99.33
LYR	78.2	15.83	75.64	111.03
LZH	36.09	103.85	30.55	177.25
MAS	69.46	23.7	66.65	106.36
MAW	-67.61	62.88	-70.67	90.72
MBO	14.38	343.03	1.2	58.44
MCQ	-54.5	158.95	-64.39	249.06
MEA	54.62	246.65	61.85	307.9
MEK	62.77	30.97	59.57	108.66
MGD	59.97	150.86	54.3	220.68
MMB	43.91	144.19	37.08	216.67
MOS	55.48	37.32	51.85	112.09
MSR	44.37	142.27	37.64	214.97
MUO	68.02	23.53	65.19	105.23
MUT	14.37	121.02	6.9	193.55
NAL	78.92	11.95	76.57	109.96
NAN	56.4	298.3	63.9	22.81
NAQ	61.16	314.56	65.75	43.19
NEW	48.27	242.88	54.65	305.18
NGK	52.07	12.68	48.03	89.28
NOR	71.09	25.79	68.19	109.28
NUR	60.5	24.65	57.32	102.35
NVS	55.03	82.9	51.26	156.55
ORC	-60.74	315.26	-48.69	20.47
OTT	45.4	284.45	54.98	2.52
OUJ	64.52	27.23	61.47	106.27
PAF	-49.35	70.26	-58.63	123.64
PAG	47.49	24.18	42.66	98.37
PEG	38.1	23.9	31.21	96.81
PET	52.97	158.25	46.73	227.93
PG0	-83.67	88.68	-78.32	38.23
PG1	-85.5	77.2	-76.55	33.68
PG2	-84.42	57.96	-75.24	39.07
PGC	66.1	294.2	74.09	20.55
PIL	-31.4	294.47	-18.39	4.76
PIN	50.2	263.96	59.96	332.57
PPT	-17.57	210.42	-16.22	286.3
PST	-51.7	302.11	-38.96	11.06
RAL	58.22	256.32	67.0	319.92
RAN	62.82	267.89	72.45	336.88
RED	52.14	246.16	59.25	308.04
RES	74.69	265.11	82.93	324.46
RIK	43.48	143.76	36.64	216.3
ROE	55.17	8.55	51.86	86.8
RPB	66.5	273.8	75.97	346.55
RVK	64.94	10.99	62.61	93.27
SBA	-77.85	166.78	-79.94	328.76
SBL	43.93	299.99	50.53	22.7
SFS	36.67	354.06	27.11	70.52
SHU	55.38	199.54	53.29	260.26
SIT	57.07	224.67	59.89	282.16
SJG	18.11	293.85	26.75	11.85
SMI	60.02	248.05	67.47	307.71
