Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  6.5000000000E+01 -8.5000000000E+01  3.5695328987E+00  5.4828652458E+01  1.4787412291E+01  4.5935563159E+00  7.1067020788E+00 -1.4463148497E+01  2.0370388842E+01  1.6136464890E+01  2.1873698665E+00 -1.4834736703E+01  3.6789870986E+01  2.3638116478E+01 -6.5596755561E+00 -5.2043854970E+00  3.4250744435E+00  1.3993714334E+02 -8.3088428836E+01
  7.0000000000E+01 -8.5000000000E+01  2.7276993401E+00  5.5048197544E+01  1.5876328685E+01  4.5374405104E+00  7.2709672495E+00 -1.4406477744E+01  1.9974929788E+01  1.6827131382E+01  2.0201023436E+00 -1.5734738798E+01  3.6157281134E+01  2.4290725180E+01 -6.0499321605E+00 -5.2071822217E+00  3.9719789055E+00  1.3855515611E+02 -8.3493076031E+01
  7.5000000000E+01 -8.5000000000E+01  1.0345098097E+00  5.5035916629E+01  1.7353793823E+01  4.4061520886E+00  7.4827487728E+00 -1.4345238414E+01  1.9404484386E+01  1.7658835197E+01  1.8470082276E+00 -1.7263289519E+01  3.5310513597E+01  2.5236933574E+01 -5.5128371459E+00 -5.4161809385E+00  4.6150904363E+00  1.3667408992E+02 -8.3876499085E+01
  8.0000000000E+01 -8.5000000000E+01 -1.5642395212E+00  5.4633016698E+01  1.8943626890E+01  4.1842701654E+00  7.7415911590E+00 -1.4279902643E+01  1.8619498092E+01  1.8635255301E+01  1.6692927238E+00 -1.9492224672E+01  3.4093220016E+01  2.6291375867E+01 -4.8757831061E+00 -5.8370497782E+00  5.2628609429E+00  1.3423272477E+02 -8.4231305273E+01
  8.5000000000E+01 -8.5000000000E+01 -4.9633088845E+00  5.3639497784E+01  2.0392994316E+01  3.8557925501E+00  8.0420509003E+00 -1.4210983719E+01  1.7577577235E+01  1.9746120386E+01  1.4882475867E+00 -2.2378222217E+01  3.2259908814E+01  2.7253664924E+01 -4.0184564523E+00 -6.4085823170E+00  5.8620655249E+00  1.3118174242E+02 -8.4548992004E+01
  9.0000000000E+01 -8.5000000000E+01 -8.9118725997E+00  5.1912356761E+01  2.1442342928E+01  3.4069178121E+00  8.3716524317E+00 -1.4139027238E+01  1.6240486556E+01  2.0960336464E+01  1.3052416583E+00 -2.5693514330E+01  2.9582985000E+01  2.7881270506E+01 -2.8657626377E+00 -7.0026171343E+00  6.3948580021E+00  1.2749923214E+02 -8.4820137441E+01
  9.5000000000E+01 -8.5000000000E+01 -1.3016463081E+01  4.9500422067E+01  2.1875665307E+01  2.8306067490E+00  8.7097229388E+00 -1.4064609793E+01  1.4586322368E+01  2.2220970346E+01  1.1217090896E+00 -2.8946856889E+01  2.6030025276E+01  2.7944684551E+01 -1.4865353093E+00 -7.4602964942E+00  6.8738814594E+00  1.2321059842E+02 -8.5034928308E+01
  1.0000000000E+02 -8.5000000000E+01 -1.6873130887E+01  4.6713360292E+01  2.1683815702E+01  2.1322450663E+00  9.0286407758E+00 -1.3988332104E+01  1.2625427822E+01  2.3446753402E+01  9.3913556126E-01 -3.1543119483E+01  2.1927471329E+01  2.7436134616E+01 -8.7684291319E-02 -7.6895052146E+00  7.2968776290E+00  1.1840755446E+02 -8.5184118087E+01
  1.0500000000E+02 -8.5000000000E+01 -2.0327851973E+01  4.3917431556E+01  2.1124921852E+01  1.3340424484E+00  9.2987589919E+00 -1.3910812923E+01  1.0413883541E+01  2.4544529153E+01  7.5904274659E-01 -3.3225161384E+01  1.7788094994E+01  2.6665785799E+01  1.1493834213E+00 -7.7139515823E+00  7.6109062287E+00  1.1325602552E+02 -8.5260351713E+01
  1.1000000000E+02 -8.5000000000E+01 -2.3411109801E+01  4.1354086390E+01  2.0473658147E+01  4.7473663994E-01  9.4962645521E+00 -1.3832686180E+01  8.0547983595E+00  2.5431821198E+01  5.8297125758E-01 -3.4090842627E+01  1.3993512201E+01  2.5955103839E+01  2.1501978263E+00 -7.5675115614E+00  7.7682692303E+00  1.0798232821E+02 -8.5259531509E+01
