Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  2.3500000000E+02 -8.5000000000E+01 -2.0953194388E+01  3.0522054644E+01  3.6336394144E+01 -3.9662782617E+00  9.3081945245E+00 -1.3140114658E+01  2.4384319897E+00  2.0715120390E+01  4.3832264271E-01 -2.3349227420E+01  5.2245721680E+00  4.7257915417E+01  3.9238793038E+00 -4.7258324383E+00  1.7802707429E+00  9.3292171441E+01 -7.6627158522E+01
  2.4000000000E+02 -8.5000000000E+01 -1.9888366366E+01  3.1020641950E+01  3.6362060683E+01 -3.7769984156E+00  9.3058603697E+00 -1.3187726388E+01  3.2426234072E+00  2.0358761629E+01  6.1285864584E-01 -2.2994500210E+01  6.1475929730E+00  4.7460529827E+01  3.6405088526E+00 -4.7915730221E+00  1.4763985979E+00  9.4846053291E+01 -7.6385624478E+01
  2.4500000000E+02 -8.5000000000E+01 -1.8786554484E+01  3.1569047891E+01  3.6377297118E+01 -3.5786998017E+00  9.2974830379E+00 -1.3240045551E+01  4.0532967090E+00  1.9998910684E+01  7.9318319713E-01 -2.2599813306E+01  7.1043953481E+00  4.7606795370E+01  3.3386619142E+00 -4.8317411784E+00  1.2173641017E+00  9.6432907930E+01 -7.6166378729E+01
  2.5000000000E+02 -8.5000000000E+01 -1.7643573597E+01  3.2167454021E+01  3.6368747619E+01 -3.3720590536E+00  9.2828134092E+00 -1.3296668422E+01  4.8664368219E+00  1.9637669363E+01  9.7768031737E-01 -2.2159013289E+01  8.0892048714E+00  4.7687549279E+01  3.0210619236E+00 -4.8422336225E+00  1.0001864450E+00  9.8048178193E+01 -7.5970025707E+01
  2.5500000000E+02 -8.5000000000E+01 -1.6459990217E+01  3.2812057456E+01  3.6323114177E+01 -3.1576897843E+00  9.2616738373E+00 -1.3357165764E+01  5.6782713861E+00  1.9277155791E+01  1.1647190945E+00 -2.1671255254E+01  9.0956956327E+00  4.7694000207E+01  2.6906834351E+00 -4.8224678051E+00  8.2156064004E-01  9.9687705954E+01 -7.5797098466E+01
  2.6000000000E+02 -8.5000000000E+01 -1.5242708728E+01  3.3496172078E+01  3.6229781716E+01 -2.9361484873E+00  9.2339507720E+00 -1.3421086852E+01  6.4852761001E+00  1.8919445180E+01  1.3526740323E+00 -2.1141646752E+01  1.0118448690E+01  4.7619875581E+01  2.3498104117E+00 -4.7756725647E+00  6.7831895485E-01  1.0134766176E+02 -7.5648060482E+01
  2.6500000000E+02 -8.5000000000E+01 -1.4001161975E+01  3.4212169043E+01  3.6080809468E+01 -2.7079470786E+00  9.1995851450E+00 -1.3487962255E+01  7.2841823031E+00  1.8566519141E+01  1.5399446473E+00 -2.0577563088E+01  1.1152648546E+01  4.7461359427E+01  2.0001658880E+00 -4.7065837897E+00  5.6746764867E-01  1.0302448423E+02 -7.5523307001E+01
  2.7000000000E+02 -8.5000000000E+01 -1.2747767837E+01  3.4950437110E+01  3.5868984862E+01 -2.4735576980E+00  9.1585705504E+00 -1.3557308621E+01  8.0719847151E+00  1.8220223550E+01  1.7249740655E+00 -1.9989427787E+01  1.2193503892E+01  4.7215448803E+01  1.6432329329E+00 -4.6218608822E+00  4.8587061436E-01  1.0471482724E+02 -7.5423166052E+01
  2.7500000000E+02 -8.5000000000E+01 -1.1499248138E+01  3.5697927736E+01  3.5590392921E+01 -2.2334206979E+00  9.1109446002E+00 -1.3628627843E+01  8.8459488573E+00  1.7882235461E+01  1.9062660619E+00 -1.9392368141E+01  1.3235732423E+01  4.6881898132E+01  1.2805918437E+00 -4.5309847471E+00  4.3085657056E-01  1.0641551316E+02 -7.5347899175E+01
  2.8000000000E+02 -8.5000000000E+01 -1.0275095441E+01  3.6440429090E+01  3.5248483869E+01 -1.9879532925E+00  9.0567879145E+00 -1.3701413815E+01  9.6036170755E+00  1.7554039104E+01  2.0824003962E+00 -1.8804362237E+01  1.4274453534E+01  4.6465802423E+01  9.1360301323E-01 -4.4448514615E+00  4.0169486457E-01  1.0812349084E+02 -7.5297701949E+01
  2.8500000000E+02 -8.5000000000E+01 -9.0939503476E+00  3.7167683961E+01  3.4853313777E+01 -1.7375565725E+00  8.9962201773E+00 -1.3775153319E+01  1.0342813136E+01  1.7236912025E+01  2.2520459675E+00 -1.8241600617E+01  1.5307284198E+01  4.5976915934E+01  5.4239370676E-01 -4.3727324390E+00  3.9950519400E-01  1.0983579698E+02 -7.5272704347E+01
  2.9000000000E+02 -8.5000000000E+01 -7.9720642950E+00  3.7874978823E+01  3.4416851814E+01 -1.4826202790E+00  8.9293980883E+00 -1.3849327925E+01  1.1061645144E+01  1.6931920757E+01  2.4139720417E+00 -1.7716595352E+01  1.6334971093E+01  4.5426505266E+01  1.6550619137E-01 -4.3213111155E+00  4.2570243094E-01  1.1154951996E+02 -7.5272970962E+01
  2.9500000000E+02 -8.5000000000E+01 -6.9237140263E+00  3.8561788204E+01  3.3949857606E+01 -1.2235310476E+00  8.8565152449E+00 -1.3923417360E+01  1.1758507182E+01  1.6639926055E+01  2.5670571106E+00 -1.7238885868E+01  1.7360738063E+01  4.4825160333E+01 -2.1980429286E-01 -4.2953911587E+00  4.8105752248E-01  1.1326176497E+02 -7.5298501104E+01
  3.0000000000E+02 -8.5000000000E+01 -5.9618358488E+00  3.9230488375E+01  3.3460392155E+01 -9.6067974358E-01  8.7778013751E+00 -1.3996904661E+01  1.2432080932E+01  1.6361597412E+01  2.7102958597E+00 -1.6815943899E+01  1.8389679266E+01  4.4181720091E+01 -6.1729313747E-01 -4.2985896787E+00  5.6528086571E-01  1.1496961965E+02 -7.5349228804E+01
  3.0500000000E+02 -8.5000000000E+01 -5.0985455013E+00  3.9885528624E+01  3.2952702840E+01 -6.9446610687E-01  8.6935234876E+00 -1.4069272385E+01  1.3081337442E+01  1.6097435951E+01  2.8428040324E+00 -1.6453864675E+01  1.9428378895E+01  4.3502504842E+01 -1.0315521615E+00 -4.3338097108E+00  6.7666635077E-01  1.1667011925E+02 -7.5425022708E+01
  3.1000000000E+02 -8.5000000000E+01 -4.3454813119E+00  4.0532770986E+01  3.2426413852E+01 -4.2530673979E-01  8.6039884900E+00 -1.4140012989E+01  1.3705540013E+01  1.5847804079E+01  2.9638214962E+00 -1.6157909279E+01  2.0484562960E+01  4.2790830483E+01 -1.4678053053E+00 -4.4035845423E+00  8.1177486172E-01  1.1836021034E+02 -7.5525685848E+01
  3.1500000000E+02 -8.5000000000E+01 -3.7138873742E+00  4.1179628842E+01  3.1876607653E+01 -1.5363991632E-01  8.5095459087E+00 -1.4208625473E+01  1.4304247582E+01  1.5612961772E+01  3.0727134727E+00 -1.5932635627E+01  2.1567209276E+01  4.2047079161E+01 -1.9318594126E+00 -4.5100881140E+00  9.6544049211E-01  1.2003671219E+02 -7.5650955288E+01
  3.2000000000E+02 -8.5000000000E+01 -3.2131063918E+00  4.1837624013E+01  3.1292432304E+01  1.2006520275E-01  8.4105919390E+00 -1.4274620787E+01  1.4877316216E+01  1.5393105325E+01  3.1689695904E+00 -1.5780151481E+01  2.2687755942E+01  4.1267572632E+01 -2.4303363294E+00 -4.6538291928E+00  1.1305108687E+00  1.2169627464E+02 -7.5800501590E+01
  3.2500000000E+02 -8.5000000000E+01 -2.8444393030E+00  4.2523298292E+01  3.0652228594E+01  3.9530644774E-01  8.3075755029E+00 -1.4337524233E+01  1.5424891820E+01  1.5188405294E+01  3.2522003228E+00 -1.5695810692E+01  2.3858290328E+01  4.0441501435E+01 -2.9688268790E+00 -4.8309728328E+00  1.2960510692E+00  1.2333533122E+02 -7.5973928080E+01
