Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 17
      72      69
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed LonSm LatSm
  7.5000000000E+01 -8.5000000000E+01  1.3671426143E+00  5.4648159012E+01  1.6842355364E+01  4.3817956899E+00  7.3916285889E+00 -1.4656928802E+01  1.9302701527E+01  1.7452107184E+01  1.8410972635E+00 -1.6912978482E+01  3.5094665202E+01  2.4992952662E+01 -5.4043761206E+00 -5.2902419636E+00  4.6652342411E+00  1.3667408992E+02 -8.3876499085E+01
  8.0000000000E+01 -8.5000000000E+01 -1.2339987326E+00  5.4258486383E+01  1.8398053848E+01  4.1659715824E+00  7.6510585246E+00 -1.4590918519E+01  1.8526237868E+01  1.8423101624E+01  1.6643247694E+00 -1.9139756783E+01  3.3902147091E+01  2.6023551737E+01 -4.7864513996E+00 -5.7178208561E+00  5.3010958601E+00  1.3423272477E+02 -8.4231305273E+01
  8.5000000000E+01 -8.5000000000E+01 -4.6148086716E+00  5.3294550575E+01  1.9796472606E+01  3.8442326008E+00  7.9524538700E+00 -1.4521319219E+01  1.7495734757E+01  1.9528701343E+01  1.4843085450E+00 -2.2005460636E+01  3.2102036499E+01  2.6948858268E+01 -3.9493153941E+00 -6.2886411365E+00  5.8846250123E+00  1.3118174242E+02 -8.4548992004E+01
  9.0000000000E+01 -8.5000000000E+01 -8.5310472370E+00  5.1624564139E+01  2.0798315327E+01  3.4027175972E+00  8.2834963175E+00 -1.4448682866E+01  1.6173099297E+01  2.0738178694E+01  1.3024009330E+00 -2.5284033275E+01  2.9478664980E+01  2.7541643308E+01 -2.8228308560E+00 -6.8757758517E+00  6.4029539519E+00  1.2749923214E+02 -8.4820137441E+01
  9.5000000000E+01 -8.5000000000E+01 -1.2603164704E+01  4.9299070940E+01  2.1201165736E+01  2.8342277854E+00  8.6236781946E+00 -1.4373592359E+01  1.4536334748E+01  2.1995145998E+01  1.1200193235E+00 -2.8496095759E+01  2.6005307553E+01  2.7585105442E+01 -1.4776314785E+00 -7.3250608052E+00  6.8696333298E+00  1.2321059842E+02 -8.5034928308E+01
  1.0000000000E+02 -8.5000000000E+01 -1.6435625321E+01  4.6622352858E+01  2.1010943763E+01  2.1438675497E+00  8.9455065752E+00 -1.4296654575E+01  1.2595334739E+01  2.3218993046E+01  9.3863268729E-01 -3.1056200114E+01  2.2003339167E+01  2.7086349036E+01 -1.1862749610E-01 -7.5454859297E+00  7.2826166147E+00  1.1840755446E+02 -8.5184118087E+01
  1.0500000000E+02 -8.5000000000E+01 -1.9877850841E+01  4.3933174351E+01  2.0500181553E+01  1.3534567752E+00  9.2193675766E+00 -1.4218494189E+01  1.0405313879E+01  2.4317182657E+01  7.5974631381E-01 -3.2719028556E+01  1.7958144092E+01  2.6368069077E+01  1.0824070609E+00 -7.5615199740E+00  7.5908603511E+00  1.1325602552E+02 -8.5260351713E+01
  1.1000000000E+02 -8.5000000000E+01 -2.2967079591E+01  4.1439250873E+01  1.9918366096E+01  5.0129851031E-01  9.4213385028E+00 -1.4139750756E+01  8.0681767938E+00  2.5207622345E+01  5.8488501252E-01 -3.3597354758E+01  1.4223054898E+01  2.5725946628E+01  2.0607998631E+00 -7.4127648728E+00  7.7472852112E+00  1.0798232821E+02 -8.5259531509E+01
  1.1500000000E+02 -8.5000000000E+01 -2.5731152678E+01  3.9301940795E+01  1.9496204067E+01 -3.6454106538E-01  9.5404439509E+00 -1.4061068983E+01  5.7156192621E+00  2.5841781933E+01  4.1557515163E-01 -3.3867342137E+01  1.1020978463E+01  2.5359635237E+01  2.7851112625E+00 -7.1012635510E+00  7.7820626603E+00  1.0283597599E+02 -8.5181702875E+01
  1.2000000000E+02 -8.5000000000E+01 -2.8190446620E+01  3.7515553996E+01  1.9466037402E+01 -1.1971242577E+00  9.5811248492E+00 -1.3983093526E+01  3.4792615433E+00  2.6215657392E+01  2.5332585059E-01 -3.3744266755E+01  8.4019099562E+00  2.5415321350E+01  3.2716828491E+00 -6.6831382015E+00  7.7804837272E+00  9.8042326111E+01 -8.5031043980E+01
