PEDERSEN CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
82.0	0.0	1.22	1.24	0.20	0.29	0.25	0.14
82.0	1.0	1.28	1.29	0.26	0.29	0.26	0.10
82.0	2.0	1.38	1.40	0.33	0.37	0.22	0.10
82.0	3.0	1.37	1.48	0.29	0.42	0.24	0.12
82.0	4.0	1.33	1.46	0.28	0.41	0.31	0.11
82.0	5.0	1.27	1.41	0.29	0.41	0.34	0.11
82.0	6.0	1.23	1.36	0.28	0.41	0.29	0.14
82.0	7.0	1.22	1.39	0.25	0.44	0.24	0.14
82.0	8.0	1.24	1.43	0.26	0.46	0.19	0.13
82.0	9.0	1.34	1.49	0.27	0.43	0.13	0.12
82.0	10.0	1.46	1.65	0.30	0.49	0.11	0.11
82.0	11.0	1.52	1.76	0.31	0.54	0.13	0.10
82.0	12.0	1.53	1.72	0.34	0.53	0.14	0.11
82.0	13.0	1.50	1.69	0.32	0.53	0.13	0.13
82.0	14.0	1.50	1.65	0.31	0.51	0.12	0.16
82.0	15.0	1.53	1.64	0.34	0.50	0.13	0.17
82.0	16.0	1.56	1.60	0.40	0.46	0.15	0.17
82.0	17.0	1.59	1.53	0.42	0.41	0.16	0.20
82.0	18.0	1.58	1.42	0.48	0.34	0.25	0.19
82.0	19.0	1.46	1.35	0.45	0.32	0.36	0.18
82.0	20.0	1.36	1.38	0.39	0.40	0.37	0.14
82.0	21.0	1.32	1.30	0.35	0.35	0.28	0.14
82.0	22.0	1.26	1.27	0.24	0.36	0.25	0.18
82.0	23.0	1.27	1.26	0.24	0.36	0.23	0.14
80.0	0.0	2.08	2.13	0.86	1.10	0.16	0.11
80.0	1.0	2.34	2.36	1.15	1.18	0.17	0.08
80.0	2.0	2.60	2.80	1.33	1.56	0.17	0.08
80.0	3.0	2.29	3.03	0.97	1.72	0.20	0.08
80.0	4.0	2.13	2.91	0.89	1.64	0.23	0.08
80.0	5.0	2.04	2.66	0.91	1.49	0.24	0.08
80.0	6.0	1.98	2.56	0.93	1.48	0.22	0.08
80.0	7.0	1.88	2.63	0.79	1.60	0.19	0.08
80.0	8.0	1.86	2.60	0.80	1.55	0.18	0.08
80.0	9.0	2.06	2.59	0.91	1.45	0.13	0.08
80.0	10.0	2.16	2.98	0.91	1.72	0.10	0.07
80.0	11.0	2.36	3.04	1.06	1.70	0.10	0.07
80.0	12.0	2.33	2.93	1.04	1.67	0.10	0.07
80.0	13.0	2.41	3.07	1.12	1.85	0.09	0.08
80.0	14.0	2.43	3.07	1.11	1.86	0.09	0.09
80.0	15.0	2.67	3.03	1.37	1.86	0.10	0.10
80.0	16.0	2.67	2.81	1.45	1.67	0.11	0.12
80.0	17.0	2.78	2.57	1.53	1.44	0.11	0.14
80.0	18.0	2.80	2.27	1.63	1.18	0.14	0.14
80.0	19.0	2.49	2.26	1.42	1.21	0.18	0.13
80.0	20.0	2.18	2.59	1.17	1.56	0.21	0.09
80.0	21.0	2.24	2.35	1.25	1.36	0.21	0.08
80.0	22.0	1.92	2.42	0.82	1.46	0.20	0.10
80.0	23.0	1.89	2.26	0.69	1.33	0.17	0.11
78.0	0.0	3.76	3.91	2.23	2.68	0.09	0.09
