HALL CONDUCTANCE COEFFICIENTS (Smoothed)
Conductance Model for Extreme Events (CMEE)
Developed by Agnit Mukhopadhyay (March 2019)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
84.0	23.00	0.91	0.98	0.69	0.74	0.17	0.15
82.0	0.00	1.04	1.19	0.73	0.88	0.17	0.15
82.0	1.00	1.26	1.24	0.98	0.95	0.21	0.15
82.0	2.00	1.24	1.31	0.91	0.98	0.22	0.11
82.0	3.00	1.41	1.25	1.07	0.93	0.21	0.08
82.0	4.00	1.28	1.38	0.93	0.99	0.28	0.08
82.0	5.00	1.15	1.23	0.79	0.88	0.23	0.10
82.0	6.00	1.05	1.39	0.61	0.95	0.17	0.10
82.0	7.00	1.11	1.21	0.70	0.81	0.11	0.09
82.0	8.00	1.25	1.35	0.81	0.92	0.10	0.08
82.0	9.00	1.25	1.44	0.84	1.03	0.11	0.12
82.0	10.00	1.44	1.52	1.05	1.09	0.12	0.10
82.0	11.00	1.40	1.57	1.03	1.20	0.14	0.12
82.0	12.00	1.49	1.65	1.08	1.23	0.11	0.10
82.0	13.00	1.47	1.64	1.00	1.17	0.09	0.10
82.0	14.00	1.43	1.73	0.94	1.28	0.06	0.07
82.0	15.00	1.31	1.52	0.86	1.07	0.06	0.08
82.0	16.00	1.44	1.62	1.00	1.19	0.06	0.04
82.0	17.00	1.45	1.39	1.18	0.99	0.11	0.08
82.0	18.00	1.46	1.44	1.14	1.04	0.12	0.11
82.0	19.00	1.48	1.44	1.19	1.17	0.17	0.12
82.0	20.00	1.48	1.37	1.13	1.06	0.17	0.13
82.0	21.00	1.19	1.15	0.93	0.88	0.15	0.13
82.0	22.00	1.32	1.19	1.02	0.88	0.15	0.13
82.0	23.00	1.09	1.08	0.82	0.80	0.17	0.15
80.0	0.00	4.62	4.76	3.38	3.52	0.14	0.12
80.0	1.00	5.54	5.38	4.41	4.26	0.13	0.10
80.0	2.00	5.42	6.42	4.14	5.14	0.16	0.08
80.0	3.00	5.30	6.39	3.99	5.08	0.18	0.08
80.0	4.00	4.13	6.78	2.72	5.36	0.21	0.08
80.0	5.00	4.50	6.26	2.88	4.65	0.20	0.08
80.0	6.00	4.49	5.99	2.67	4.17	0.14	0.07
