HALL CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
82.0	0.0	3.25	3.34	0.53	0.67	0.26	0.15
82.0	1.0	3.42	3.54	0.62	0.77	0.24	0.14
82.0	2.0	3.75	3.74	0.83	0.87	0.20	0.16
82.0	3.0	3.60	4.01	0.58	1.00	0.24	0.13
82.0	4.0	3.41	3.92	0.43	0.92	0.28	0.11
82.0	5.0	3.25	3.76	0.40	0.88	0.28	0.12
82.0	6.0	3.14	3.66	0.42	0.93	0.26	0.14
82.0	7.0	3.13	3.78	0.45	1.05	0.26	0.13
82.0	8.0	3.19	3.84	0.43	1.03	0.19	0.13
82.0	9.0	3.51	4.10	0.46	1.03	0.15	0.12
82.0	10.0	3.86	4.50	0.51	1.15	0.14	0.11
82.0	11.0	4.08	4.81	0.54	1.24	0.14	0.11
82.0	12.0	4.07	4.80	0.54	1.30	0.13	0.11
82.0	13.0	4.05	4.75	0.58	1.32	0.14	0.12
82.0	14.0	3.97	4.63	0.52	1.17	0.14	0.14
82.0	15.0	4.10	4.56	0.65	1.10	0.13	0.15
82.0	16.0	4.26	4.46	0.82	1.01	0.14	0.17
82.0	17.0	4.50	4.29	1.05	0.87	0.15	0.17
82.0	18.0	4.50	4.03	1.18	0.65	0.17	0.11
82.0	19.0	4.08	3.87	0.97	0.70	0.23	0.13
82.0	20.0	3.69	3.79	0.73	0.83	0.23	0.13
82.0	21.0	3.56	3.55	0.71	0.74	0.19	0.13
82.0	22.0	3.27	3.47	0.45	0.76	0.18	0.15
82.0	23.0	3.16	3.38	0.38	0.72	0.17	0.13
80.0	0.0	5.01	4.88	2.22	2.14	0.14	0.10
80.0	1.0	5.74	5.61	2.74	2.63	0.13	0.09
80.0	2.0	6.52	6.41	3.19	3.20	0.13	0.09
80.0	3.0	5.14	7.08	1.63	3.66	0.18	0.08
80.0	4.0	4.54	6.82	1.16	3.42	0.21	0.08
80.0	5.0	4.26	6.14	1.19	2.97	0.20	0.08
80.0	6.0	4.06	5.81	1.23	2.91	0.18	0.07
80.0	7.0	3.84	6.06	1.09	3.27	0.18	0.07
80.0	8.0	3.94	5.93	1.19	3.07	0.17	0.07
80.0	9.0	4.42	6.09	1.39	3.00	0.12	0.08
80.0	10.0	4.98	6.88	1.63	3.53	0.10	0.07
80.0	11.0	5.48	7.26	1.97	3.73	0.09	0.07
80.0	12.0	5.41	7.13	1.99	3.73	0.09	0.08
80.0	13.0	5.73	7.40	2.36	4.13	0.09	0.08
80.0	14.0	5.78	7.44	2.43	4.16	0.09	0.09
80.0	15.0	6.43	7.36	3.10	3.99	0.09	0.10
80.0	16.0	6.51	6.85	3.22	3.51	0.09	0.12
80.0	17.0	6.75	6.28	3.44	2.98	0.10	0.13
80.0	18.0	6.81	5.62	3.58	2.31	0.11	0.11
80.0	19.0	5.94	5.51	2.86	2.32	0.13	0.11
80.0	20.0	5.39	6.01	2.45	3.02	0.14	0.09
80.0	21.0	5.38	5.42	2.60	2.66	0.14	0.08
80.0	22.0	4.44	5.51	1.66	2.84	0.15	0.09
80.0	23.0	4.13	5.07	1.32	2.43	0.15	0.10
78.0	0.0	7.82	8.12	4.90	5.22	0.10	0.08
78.0	1.0	9.02	9.20	5.91	6.11	0.09	0.07
78.0	2.0	9.52	10.00	6.24	6.78	0.10	0.06
78.0	3.0	6.23	10.55	2.88	7.20	0.14	0.05
78.0	4.0	5.35	10.49	2.02	7.02	0.16	0.05
78.0	5.0	5.38	9.68	2.24	6.33	0.15	0.05
78.0	6.0	5.22	9.32	2.23	6.23	0.13	0.05
78.0	7.0	5.01	9.52	2.15	6.58	0.13	0.05
78.0	8.0	5.48	8.96	2.71	5.93	0.13	0.06
78.0	9.0	6.48	9.11	3.36	5.91	0.10	0.06
78.0	10.0	7.89	10.38	4.40	7.00	0.08	0.06
78.0	11.0	9.21	10.67	5.56	7.20	0.06	0.06
78.0	12.0	9.36	10.76	5.88	7.43	0.06	0.07
78.0	13.0	10.23	11.46	6.81	8.29	0.06	0.07
78.0	14.0	10.54	11.54	7.13	8.34	0.06	0.08
78.0	15.0	10.90	11.17	7.56	7.78	0.06	0.08
78.0	16.0	10.42	10.48	7.14	7.06	0.06	0.09
78.0	17.0	10.26	9.52	7.08	6.17	0.07	0.09
78.0	18.0	10.14	9.09	7.00	5.78	0.07	0.08
78.0	19.0	8.43	9.10	5.39	5.91	0.09	0.08
78.0	20.0	8.79	9.33	5.87	6.30	0.09	0.07
78.0	21.0	8.45	8.48	5.69	5.70	0.09	0.07
78.0	22.0	6.87	9.38	4.11	6.68	0.10	0.07
78.0	23.0	6.18	8.51	3.35	5.81	0.11	0.07
76.0	0.0	9.29	11.43	6.65	8.49	0.09	0.06
76.0	1.0	10.61	12.35	7.81	9.23	0.08	0.05
76.0	2.0	10.61	12.87	7.67	9.68	0.08	0.05
76.0	3.0	8.41	14.11	5.01	10.68	0.09	0.04
76.0	4.0	8.20	14.68	4.64	11.08	0.09	0.04
76.0	5.0	6.75	13.50	3.31	10.02	0.08	0.04
76.0	6.0	6.48	12.85	3.31	9.70	0.09	0.04
76.0	7.0	6.76	12.49	3.81	9.40	0.10	0.05
76.0	8.0	7.63	11.77	4.82	8.56	0.12	0.05
76.0	9.0	9.31	11.94	6.08	8.51	0.10	0.06
76.0	10.0	10.95	12.64	7.40	9.13	0.08	0.06
76.0	11.0	12.60	11.80	8.84	8.41	0.06	0.08
76.0	12.0	12.82	11.54	9.24	8.21	0.05	0.08
76.0	13.0	13.59	11.54	10.17	8.28	0.05	0.09
76.0	14.0	13.69	10.73	10.35	7.48	0.05	0.10
76.0	15.0	13.68	10.79	10.40	7.45	0.05	0.10
76.0	16.0	13.67	10.93	10.34	7.46	0.05	0.11
76.0	17.0	13.52	12.42	10.20	8.97	0.05	0.08
76.0	18.0	13.16	13.01	9.84	9.64	0.05	0.07
76.0	19.0	11.45	12.93	8.32	9.82	0.06	0.06
76.0	20.0	12.20	12.42	9.24	9.41	0.06	0.06
76.0	21.0	11.18	11.59	8.37	8.68	0.06	0.06
76.0	22.0	9.80	12.14	6.97	9.24	0.07	0.06
76.0	23.0	9.07	11.26	6.19	8.43	0.08	0.06
74.0	0.0	11.23	14.14	8.50	11.06	0.08	0.04
74.0	1.0	13.29	14.41	10.41	11.10	0.07	0.04
74.0	2.0	13.11	14.81	10.07	11.41	0.07	0.04
74.0	3.0	14.37	16.53	10.82	12.88	0.06	0.04
74.0	4.0	12.96	17.02	9.13	13.29	0.05	0.04
74.0	5.0	9.22	15.92	5.37	12.28	0.06	0.04
74.0	6.0	8.92	15.73	5.57	12.32	0.08	0.04
74.0	7.0	9.70	14.74	6.57	11.37	0.09	0.04
74.0	8.0	10.78	14.24	7.70	10.71	0.09	0.05
74.0	9.0	11.55	14.46	8.13	10.59	0.08	0.05
74.0	10.0	12.78	14.53	9.12	10.65	0.07	0.06
74.0	11.0	13.39	12.54	9.50	8.89	0.06	0.08
74.0	12.0	12.79	10.64	9.07	7.16	0.05	0.09
74.0	13.0	13.22	9.52	9.69	6.16	0.05	0.10
74.0	14.0	13.61	8.22	10.20	4.90	0.05	0.12
74.0	15.0	13.51	7.87	10.16	4.50	0.05	0.12
74.0	16.0	14.36	8.56	10.95	5.07	0.04	0.12
74.0	17.0	14.57	11.45	11.06	7.90	0.04	0.09
74.0	18.0	13.89	13.69	10.39	10.32	0.04	0.07
74.0	19.0	13.33	15.06	10.02	11.95	0.04	0.05
74.0	20.0	12.84	15.31	9.72	12.43	0.05	0.05
74.0	21.0	13.26	13.17	10.23	10.20	0.05	0.05
74.0	22.0	12.50	12.66	9.43	9.58	0.06	0.05
74.0	23.0	12.01	12.38	8.92	9.45	0.06	0.05
72.0	0.0	13.88	16.52	10.79	13.19	0.06	0.04
72.0	1.0	14.54	15.34	11.34	11.93	0.06	0.04
72.0	2.0	13.57	15.10	10.17	11.59	0.07	0.04
72.0	3.0	14.02	15.18	10.34	11.54	0.06	0.04
72.0	4.0	13.54	14.94	9.95	11.39	0.06	0.04
72.0	5.0	13.15	15.62	9.47	12.13	0.06	0.04
72.0	6.0	13.61	16.60	10.07	12.93	0.07	0.04
72.0	7.0	14.62	15.54	10.94	11.46	0.07	0.04
72.0	8.0	16.55	15.66	12.45	11.09	0.07	0.05
72.0	9.0	17.60	16.81	13.00	11.76	0.06	0.05
72.0	10.0	17.01	17.99	12.11	12.91	0.06	0.05
72.0	11.0	15.11	14.50	10.10	9.82	0.06	0.07
72.0	12.0	13.17	10.81	9.02	6.67	0.06	0.09
72.0	13.0	12.93	9.11	9.06	5.49	0.05	0.09
72.0	14.0	12.63	8.22	9.16	4.83	0.05	0.09
72.0	15.0	11.61	7.59	8.25	4.24	0.05	0.09
72.0	16.0	12.98	7.22	9.51	3.75	0.04	0.10
72.0	17.0	13.87	8.50	10.26	4.93	0.04	0.10
72.0	18.0	15.01	12.24	11.35	8.76	0.04	0.07
72.0	19.0	15.90	14.72	12.28	11.52	0.03	0.05
72.0	20.0	14.38	16.08	10.89	13.20	0.04	0.05
72.0	21.0	14.61	14.41	11.20	11.26	0.04	0.05
72.0	22.0	12.62	13.61	9.19	10.19	0.05	0.05
72.0	23.0	12.73	13.86	9.26	10.62	0.05	0.05
70.0	0.0	18.69	17.75	15.13	14.10	0.05	0.04
70.0	1.0	16.84	17.19	13.24	13.52	0.06	0.04
70.0	2.0	15.02	16.30	11.11	12.60	0.06	0.04
70.0	3.0	14.07	15.54	9.80	11.67	0.06	0.05
70.0	4.0	13.70	14.56	9.89	10.94	0.07	0.05
70.0	5.0	15.83	15.65	11.90	11.86	0.06	0.05
70.0	6.0	18.23	17.61	13.84	13.24	0.05	0.05
70.0	7.0	19.12	19.11	13.96	14.20	0.06	0.05
70.0	8.0	21.77	19.15	16.10	13.42	0.05	0.06
70.0	9.0	23.49	19.11	17.95	12.86	0.06	0.06
70.0	10.0	19.13	20.31	13.20	14.21	0.06	0.06
70.0	11.0	15.43	15.77	9.53	10.31	0.06	0.06
70.0	12.0	12.82	11.55	8.32	6.92	0.06	0.08
70.0	13.0	12.81	9.72	8.39	5.48	0.05	0.09
70.0	14.0	13.33	9.58	9.34	5.41	0.05	0.08
70.0	15.0	12.46	8.35	8.60	4.54	0.05	0.08
70.0	16.0	12.44	7.71	8.70	4.25	0.04	0.08
70.0	17.0	12.73	7.48	9.08	4.10	0.04	0.08
70.0	18.0	15.34	9.54	11.62	6.12	0.04	0.08
70.0	19.0	16.86	12.89	12.92	9.53	0.03	0.06
70.0	20.0	16.57	14.86	12.82	11.68	0.03	0.05
70.0	21.0	16.96	16.07	13.24	12.72	0.04	0.05
70.0	22.0	14.58	14.73	10.81	11.08	0.04	0.05
70.0	23.0	16.08	17.17	12.25	13.45	0.05	0.04
68.0	0.0	25.43	18.54	21.08	14.65	0.04	0.05
68.0	1.0	22.85	17.91	18.58	14.02	0.05	0.05
68.0	2.0	18.99	18.05	14.19	14.05	0.05	0.05
68.0	3.0	18.79	18.76	13.95	14.11	0.06	0.05
68.0	4.0	17.47	17.61	12.69	13.06	0.06	0.05
68.0	5.0	20.42	18.99	14.61	14.09	0.05	0.05
68.0	6.0	23.64	21.47	17.16	16.00	0.05	0.06
68.0	7.0	24.43	23.87	18.00	18.68	0.05	0.07
68.0	8.0	23.16	21.80	17.35	16.13	0.06	0.08
68.0	9.0	20.81	18.56	15.81	12.89	0.06	0.07
68.0	10.0	15.12	17.42	9.93	12.11	0.08	0.06
68.0	11.0	12.93	13.13	7.64	8.38	0.08	0.07
68.0	12.0	13.33	11.57	8.21	6.91	0.07	0.08
68.0	13.0	15.01	12.08	9.65	6.82	0.06	0.08
68.0	14.0	17.96	12.66	12.70	7.17	0.05	0.07
68.0	15.0	16.21	11.03	11.37	6.29	0.05	0.06
68.0	16.0	14.06	9.21	9.77	5.55	0.04	0.07
68.0	17.0	13.10	8.64	9.49	5.40	0.04	0.06
68.0	18.0	16.94	10.11	13.13	6.73	0.04	0.06
68.0	19.0	18.89	12.40	14.54	8.66	0.03	0.05
68.0	20.0	20.24	14.77	15.83	11.05	0.03	0.05
68.0	21.0	23.29	18.37	18.57	14.27	0.03	0.04
68.0	22.0	22.05	18.48	17.44	13.94	0.03	0.04
68.0	23.0	23.74	21.07	19.08	16.43	0.04	0.04
66.0	0.0	30.79	22.60	24.75	17.88	0.04	0.06
66.0	1.0	26.32	19.63	20.65	14.86	0.04	0.06
66.0	2.0	23.75	18.93	17.91	13.17	0.05	0.06
66.0	3.0	24.24	19.78	18.52	13.23	0.05	0.05
66.0	4.0	24.14	20.19	16.84	13.40	0.05	0.05
66.0	5.0	26.85	22.23	17.52	14.90	0.04	0.05
