Magnetometer grid (GEO) [deg] dB (North-East-Down) [nT]
         0  6.0000000000E+01  2  0 15
       3       3
Lon Lat dBn dBe dBd dBnMhd dBeMhd dBdMhd dBnFac dBeFac dBdFac dBnHal dBeHal dBdHal dBnPed dBePed dBdPed
  0.0000000000E+00 -8.0000000000E+01  2.1839811462E+01  4.8019230364E+01  1.6098691137E+01  2.3210983436E+00  5.8149113534E+00 -1.6487937420E+01  2.1571881378E+01  7.3572904828E+00  5.1632475857E+00  4.3691626174E+00  3.2928997932E+01  2.6466138096E+01 -6.4223308765E+00  1.9180305957E+00  9.5724287448E-01
  1.2000000000E+02 -8.0000000000E+01 -4.8054455337E+01 -1.9328471435E+01  2.5610256051E+01 -1.0115241562E+01  1.9103874180E+00 -1.4558591670E+01 -2.7106291449E+01  8.1672729296E+00 -9.2295526652E-01 -1.8249824651E+01 -2.9088598002E+01  2.4625839158E+01  7.4169023248E+00 -3.1753378101E-01  1.6465963829E+01
  2.4000000000E+02 -8.0000000000E+01 -1.1124289395E+01  2.3550947542E+01  4.5500772913E+01 -6.4325397543E+00  8.8665274592E+00 -1.3551622434E+01 -5.2470952530E-01  1.5435304932E+01 -2.2122376329E-01 -1.1032840396E+01 -2.1625628544E+00  5.9384009392E+01  6.8658002809E+00  1.4116780059E+00 -1.1039028207E-01
  0.0000000000E+00  0.0000000000E+00 -1.7000744065E+00  4.3927003015E-01  2.9341280525E+00 -1.5197906427E+01  1.1755650619E+00  3.7900156649E+00  9.5908513729E+00 -4.3724829377E-01 -6.4381441565E-01  2.1965658350E+00 -2.8616018856E-01 -5.7434979769E-02  1.7104148121E+00 -1.2886549440E-02 -1.5463821697E-01
  1.2000000000E+02  0.0000000000E+00 -1.8712696825E+01  1.4763956833E+00 -2.7319002743E+00 -1.3073667738E+01 -2.6384887030E-01 -3.3550584217E+00 -5.3111378209E+00  2.1652735521E+00 -5.1541449329E-01 -1.1868622347E+00  1.4684881798E+00  1.7690967806E+00  8.5897096852E-01 -1.8935171783E+00 -6.3052413992E-01
  2.4000000000E+02  0.0000000000E+00 -2.0345087433E+01 -1.8928692306E+00  4.0005136574E+00 -1.3480232983E+01 -4.2007321373E+00  8.9096135445E-01 -4.8587615472E+00  2.6353488843E+00  4.6714014305E-01 -3.2370426327E-01 -2.1584392766E-01  1.6285479103E+00 -1.6823886399E+00 -1.1164205002E-01  1.0138642496E+00
  0.0000000000E+00  8.0000000000E+01  6.3962919855E+01  1.4182065013E+01 -1.0976140859E+00  4.4564252920E+00  1.2146395909E+01  1.5877798624E+01  1.7894752099E+01  1.6788922129E+01 -3.2722527675E+00  4.0344179460E+01 -4.2787184323E+00  7.1328819708E+00  1.2675630043E+00 -1.0474534593E+01 -2.0836041914E+01
  1.2000000000E+02  8.0000000000E+01  4.8877202020E+01  3.1280711991E+01 -1.7160971844E+00 -1.1352312874E+01  1.2312829102E+01  1.1127809232E+01 -1.1009347998E+01  1.2537194187E+01  3.3651530311E+00  5.0000898559E+01  3.5828193506E+01  1.0081707406E+01  2.1237964333E+01 -2.9397504804E+01 -2.6290766854E+01
  2.4000000000E+02  8.0000000000E+01 -9.2443127628E+00  3.9493442166E+01 -3.8221645785E+01 -1.6636027811E+01 -5.2007913251E-01  1.2192014489E+01 -3.0610878411E+01  8.2627322649E-01  3.8795810599E+00  8.0910484734E+00  5.1388390120E+01 -2.9158017822E+01  2.9911544986E+01 -1.2201142047E+01 -2.5135223511E+01
