Equinox, F10.7 = 180
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
 6640   71521      0 -2254 -4277 -1898     0     0   -80  -104     0  -387   265     0     0    20   392
 6648   69100      0 -2206 -4267 -1864     0     0  -168   -70     0  -372   231     0     0    76   474
 6663   64935      0 -2076 -4337 -1850     0     0  -148  -156     0  -347   172     0     0    16   434
 6686   59854      0 -2032 -4268 -1743     0     0   -90  -141     0  -365   215     0     0    47   408
 6717   54723      0 -1900 -4189 -1623     0     0   -22  -145     0  -397   253     0     0    76   363
 6756   50207      0 -1777 -4152 -1540     0     0   -58  -134     0  -409   187     0     0    67   318
 6803   46009      0 -1690 -4082 -1560     0     0   -39   -91     0  -395   256     0     0    54   322
 6859   42175      0 -1607 -3940 -1612     0     0     9   -44     0  -328   291     0     0    89   256
 6925   38701      0 -1528 -3884 -1591     0     0    45   -39     0  -341   219     0     0    97   223
 7000   35323      0 -1360 -3793 -1601     0     0    45   -87     0  -381   201     0     0    41   206
 7085   32273      0 -1277 -3684 -1614     0     0    26  -126     0  -378    73     0     0    -1   161
 7182   29336      0 -1245 -3491 -1494     0     0   -26  -104     0  -403    -1     0     0     9   128
 7290   26621      0 -1157 -3352 -1503     0     0    34  -133     0  -376    10     0     0    23    74
 7410   24064      0 -1089 -3214 -1382     0     0    51   -94     0  -381    16     0     0   -12   109
 7545   21551      0 -1036 -3070 -1305     0     0    73   -23     0  -274     8     0     0   -42    67
 7695   19253      0  -979 -2986 -1215     0     0    50    -7     0  -213   -35     0     0   -15    86
 7861   17077      0  -882 -2749 -1105     0     0    88   -59     0  -327   -52     0     0    12    77
 8046   15093      0  -751 -2551 -1104     0     0    -7     0     0  -199    -4     0     0    42   148
 8252   13221      0  -597 -2377  -998     0     0    80    65     0  -228   -49     0     0    44   127
 8481   11511      0  -527 -2198  -962     0     0    31    46     0  -228   -27     0     0    -6    43
 8736    9920      0  -445 -2044  -953     0     0    97    38     0  -243   -47     0     0   -44    36
 9021    8494      0  -228 -1873  -867     0     0    39    47     0  -228    23     0     0    48    27
 9340    7268      0  -219 -1678  -853     0     0   -40    61     0  -243    31     0     0    -5    10
 9698    6127      0  -182 -1524  -826     0     0    29   -36     0  -202   -50     0     0    57    34
10103    5124      0  -176 -1474  -783     0     0    61   -20     0  -159   -54     0     0    53     0
10562    4249      0  -131 -1286  -665     0     0    29   -76     0  -153   -62     0     0     4   -28
11086    3500      0  -105 -1176  -701     0     0   113     2     0  -156   -91     0     0    35   -18
11688    2842      0   -33  -952  -586     0     0   127   -13     0   -51   -83     0     0   180  -156
12386    2282      0   -74  -798  -479     0     0   145    18     0   -60   -32     0     0   117   -27
13202    1822      0  -245  -720  -416     0     0   204    49     0   -52     2     0     0   217   -63
14169    1430      0  -286  -519  -409     0     0   342     3     0    90   -98     0     0   233    -6
15328    1108      0  -422  -519  -479     0     0   336    19     0   -26     8     0     0     8   -77
16743     839      0  -544  -418  -627     0     0   545    47     0  -184    44     0     0    -2   -57
18505     627      0  -643  -294  -740     0     0   736   196     0  -269  -137     0     0    -1    13
20757     454      0  -646  -331  -943     0     0  1018   338     0  -111   -99     0     0    39   -75
23731     314      0  -594  -188 -1362     0     0  1270   150     0  -220  -243     0     0    35   -77
27839     206      0  -760   137 -2044     0     0  1280   356     0    -4  -278     0     0  -309  -177
33877     124      0 -1291   -92 -2423     0     0  1432   250     0   146   -72     0     0  -176   -15
43629      64      0 -1793  -495 -2901     0     0  1929   245     0   300   214     0     0    23   -56
62126      23      0 -2759  -470 -3332     0     0  2132   237     0   369   143     0     0  -252  -221
