Equinox, F10.7 = 230
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
 6640   53085      0 -1858 -4185 -1971     0     0  -225   -71     0  -412   168     0     0  -119   226
 6648   51540      0 -1842 -4199 -2006     0     0  -261  -156     0  -379   200     0     0  -130   196
 6663   48515      0 -1689 -4238 -1879     0     0  -240  -200     0  -318   198     0     0  -120   211
 6686   44879      0 -1674 -4165 -1686     0     0  -148  -147     0  -420   263     0     0  -171   231
 6717   41190      0 -1620 -4090 -1466     0     0  -164  -104     0  -403   278     0     0  -138   210
 6756   37538      0 -1528 -4099 -1286     0     0   -85   -57     0  -355   226     0     0  -128   225
 6803   34473      0 -1374 -4072 -1270     0     0   -20   -62     0  -421   205     0     0   -91   192
 6859   31680      0 -1274 -4038 -1256     0     0   -75   -55     0  -459   162     0     0  -137   150
 6925   29173      0 -1255 -3944 -1274     0     0  -102   -93     0  -477    99     0     0   -86   190
 7000   26894      0 -1195 -3873 -1366     0     0   -25  -113     0  -490    55     0     0  -101   185
 7085   24644      0 -1040 -3686 -1429     0     0   -35  -153     0  -435    24     0     0  -146   124
 7182   22528      0  -936 -3598 -1386     0     0    -7  -113     0  -471    14     0     0  -127    99
 7290   20559      0  -977 -3452 -1437     0     0   -14  -119     0  -473    -8     0     0   -80   163
 7410   18689      0  -813 -3302 -1359     0     0     1  -132     0  -466   -33     0     0   -93   169
 7545   16961      0  -828 -3166 -1395     0     0    11   -93     0  -387  -107     0     0  -131   142
 7695   15267      0  -705 -2949 -1403     0     0    10  -108     0  -297  -152     0     0  -156   215
 7861   13623      0  -717 -2721 -1378     0     0    76   -72     0  -299  -185     0     0  -146   160
 8046   12106      0  -539 -2580 -1184     0     0    25  -139     0  -253  -153     0     0  -107    98
 8252   10674      0  -511 -2394 -1130     0     0    17   -99     0  -203  -159     0     0  -219    71
 8481    9422      0  -479 -2222 -1133     0     0    -7   -66     0  -320  -181     0     0  -187    10
 8736    8235      0  -406 -2095  -977     0     0    67   -53     0  -289  -252     0     0   -88   -52
 9021    7114      0  -407 -1959 -1067     0     0    21   -27     0  -234  -233     0     0   -82   -20
 9340    6110      0  -262 -1704 -1035     0     0     8    20     0  -147  -276     0     0   -73   -68
 9698    5220      0  -184 -1607  -787     0     0    48   -59     0  -172  -313     0     0  -118    18
10103    4441      0   -18 -1437  -909     0     0    28   -51     0  -123  -246     0     0  -116    22
10562    3719      0    41 -1221  -764     0     0    43  -115     0   -58  -228     0     0   -90    22
11086    3078      0    82 -1027  -707     0     0   163   -52     0   -53  -115     0     0    33   -88
11688    2531      0   150  -925  -722     0     0   223    12     0   -52    43     0     0    16    40
12386    2059      0    45  -726  -691     0     0   206    61     0     9   -19     0     0    22     6
13202    1657      0   -31  -712  -584     0     0   140   -35     0   -20    59     0     0   -73   -32
14169    1316      0  -218  -545  -549     0     0   259   -78     0    -9   -10     0     0  -176  -107
15328    1024      0  -244  -468  -700     0     0   264   -81     0   -97    51     0     0   -74   -34
16743     789      0  -327  -401 -1045     0     0   394   -79     0   -77   -44     0     0    54     6
18505     590      0  -516  -270 -1011     0     0   403  -204     0  -153  -139     0     0   198    25
20757     430      0  -776    73  -905     0     0   500   -22     0  -128  -201     0     0   -65   -33
23731     301      0  -862   110 -1266     0     0  1020   -59     0   -56  -345     0     0    69   -84
27839     200      0 -1000    69 -1429     0     0  1296    28     0   283  -340     0     0  -163   -14
33877     119      0 -1089   -45 -1925     0     0  1763    56     0   -79  -143     0     0   -83   -55
43629      62      0 -2172  -111 -2295     0     0  2339   -58     0    14  -123     0     0  -266  -156
62126      22      0 -2911  -355 -2808     0     0  2608   -43     0    93  -111     0     0  -558  -231
