Solstice, F10.7 = 180
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
 6640   90231  -4708 -2148 -4214 -1833   -18   595   -99  -154   578  -255   147   280   448    83   347
 6648   86984  -4680 -2075 -4157 -1722   -21   546   -96  -161   497  -319   188   292   433    30   366
 6663   81618  -4585 -2024 -4077 -1689   -52   570  -136  -139   450  -259   181   222   437    37   341
 6686   75328  -4454 -1994 -4070 -1668   -65   536  -127  -143   472  -268   184   267   430    56   313
 6717   69094  -4366 -1912 -4038 -1616   -37   445   -77   -99   438  -249   170   217   416    62   263
 6756   63203  -4161 -1823 -3955 -1631   -47   423    -3   -90   478  -229   141   146   359    76   240
 6803   57974  -4142 -1734 -3833 -1566   -20   473    -9  -116   528  -239   105   118   309    22   214
 6859   53293  -3981 -1688 -3773 -1601   -40   469    32  -147   486  -273    97   122   362   -45   210
 6925   48932  -3770 -1585 -3720 -1590   -59   482     9  -140   510  -288    89   116   361   -46   190
 7000   44670  -3598 -1485 -3559 -1564   -95   450    26  -127   496  -250   108    93   346   -49   198
 7085   40733  -3453 -1375 -3436 -1513   -54   418     3  -121   486  -211    -7    49   344   -30   243
 7182   37100  -3307 -1323 -3337 -1517   -14   414    88  -119   400  -211     5    29   314    17   182
 7290   33616  -3082 -1217 -3191 -1450     0   343    69  -110   338  -266    32    72   295    15   162
 7410   30323  -2891 -1093 -3000 -1420   -28   304    18  -128   352  -216    12    31   296   -17   136
 7545   27198  -2747  -981 -2873 -1421   -96   232    61  -115   352  -154   -22   -20   267   -35   110
 7695   24212  -2549  -941 -2741 -1338   -67   175    63  -129   356  -166   -81   -44   260   -52    70
 7861   21563  -2353  -895 -2525 -1252  -129   132    87  -101   193  -197   -31   -68   283   -75    73
 8046   18982  -2107  -804 -2395 -1232  -104    42   107   -47   188  -145   -81  -107   269   -44    78
 8252   16608  -1932  -676 -2199 -1165   -91    35   134   -71   182  -146  -108   -36   230   -38     4
 8481   14417  -1639  -551 -2021  -995  -123    37   169   -77   140   -87   -58    27   227  -123    27
 8736   12450  -1497  -466 -1817  -974   -92   -39   168   -84   118  -184   -57    19   141   -50    15
 9021   10673  -1382  -390 -1660  -943  -148    34   175   -26   209  -114   -69   -77    97    14     6
 9340    9035  -1139  -259 -1551  -940  -123    35   142  -107   122  -105   -96  -114    64    14    -2
 9698    7634  -1115   -69 -1415  -930   -22    -9   128  -189   154  -108    22  -157    73   -21    51
10103    6401   -862  -111 -1355  -855   -45   -44    90  -131   116    28   -65  -154    39   -91   -21
10562    5296   -668   -54 -1173  -933    23   -39   143  -109     7    13   -89   -85    57   -68   -68
11086    4330   -484    10  -973  -762   -75   -66   182   -69  -102   108    16   -23    80   -78     3
11688    3518   -377   -19  -776  -649  -111  -115   127  -111   123   110   -12     3    38   -82    12
12386    2829    -83    13  -620  -640   -58  -199   240   -69    85   -42   -56   -32   -32    67   -27
13202    2231   -192   -86  -489  -637   178  -221   284   -47   146  -101   -38   -12   -17    46    49
14169    1745    -25  -196  -434  -741   261  -118   327   -30   100  -129  -168   -57    -1    60   100
15328    1347    191  -384  -286  -606   236   -98   371   -69    31   -77   -34    -3    84    31    46
16743    1022    264  -417  -169  -527   251  -166   448   -27   -45    51    14   -32    97    54    11
18505     754    425  -597  -143  -507   467   -53   650     8   129    47  -151  -106     0   -21    34
20757     545    421  -717  -228  -817   722   -89   813    93  -105  -104   -67   -98   115    -8   142
23731     381    122  -628  -157  -831  1235  -125  1012    43  -130  -101  -136  -105    57   -23   110
27839     249   -139  -751   109 -1191  1450  -216  1149   154    15  -245  -185   -72   233   -62    12
33877     147   -606 -1246   -52 -1247  1664  -199  1628   141   311  -413  -167  -204    13  -135    31
43629      75  -1234 -1836  -106 -1594  1745  -217  1561   190   270  -230   -38  -187  -312    63   -22
62126      27  -1480 -2867  -165 -1955  2253  -399  1677   -18   523    74   297  -100   138  -100   -96
