Solstice, F10.7 = 80
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
 6640  388428  -5497 -2313 -4984 -3177   -48   827  -189  -246   922  -129   498   303   576  -129   337
 6648  369317  -5330 -2269 -4953 -3107   -58   815  -157  -207   853  -131   504   273   564  -104   323
 6663  342267  -5240 -2217 -4907 -3058   -61   801  -136  -215   824  -146   473   255   538  -149   313
 6686  312710  -5166 -2184 -4833 -2978   -17   750  -103  -205   813  -152   451   233   514  -180   335
 6717  283203  -5040 -2090 -4758 -2955   -33   704  -118  -230   833  -140   426   242   492  -179   348
 6756  255394  -4920 -1988 -4659 -2866   -71   675  -147  -207   781  -118   381   185   478  -146   307
 6803  228438  -4806 -1894 -4568 -2809   -86   650  -117  -207   776  -121   359   178   467  -153   322
 6859  204041  -4693 -1805 -4476 -2719   -88   639   -86  -218   749  -106   316   178   462  -155   303
 6925  182661  -4539 -1729 -4380 -2680   -74   557   -72  -237   688   -86   320   157   429  -151   284
 7000  163397  -4366 -1683 -4225 -2582  -120   508   -69  -231   637  -117   308   142   415  -169   273
 7085  145535  -4168 -1581 -4068 -2452  -124   490   -69  -225   589  -135   233    98   385  -166   226
 7182  128635  -3945 -1495 -3934 -2390   -85   430   -47  -218   520  -156   252    81   372  -160   211
 7290  112967  -3701 -1412 -3777 -2244  -122   369   -41  -219   470  -139   200    86   394  -150   222
 7410   98366  -3432 -1244 -3555 -2155  -134   284     8  -201   490  -180   163    41   389  -143   159
 7545   84865  -3219 -1139 -3384 -2017  -153   227    36  -208   470  -150   135     9   368  -149   187
 7695   72741  -2969 -1023 -3199 -1929  -148   197    21  -189   445  -203   176    46   313  -143   166
 7861   61755  -2725  -938 -2993 -1825  -137   157     5  -130   392  -188    84    92   296  -100   172
 8046   52012  -2390  -770 -2854 -1775  -182    83    31  -145   329  -187    17    55   276   -98   153
 8252   43615  -2069  -666 -2638 -1627  -141    44    57  -164   316  -164    59    40   268  -110   120
 8481   36107  -1843  -573 -2380 -1497  -149    61    60  -191   243  -191    -3    14   230   -81    97
 8736   29735  -1657  -422 -2166 -1466  -113    31    42  -183   153  -171    14   -14   218   -40    29
 9021   24208  -1443  -315 -2005 -1362  -164    -3    79  -163   217  -160    86   -17   187   -62    -9
 9340   19543  -1202  -140 -1810 -1286  -117   -99    68  -128   157  -148    28   -27   179   -37     3
 9698   15685   -919   -87 -1489 -1160   -51  -132    60   -86    87   -49    46   -51   193    39    14
10103   12477   -617   124 -1125 -1104     4  -134    77   -86    48  -135    50   -95   228    71   -63
10562    9840   -446    82 -1004  -846    -4  -222    84  -135    94   -62   -56  -108   113    76   -77
11086    7674   -301    28  -886  -821    55  -163     4   -86    86  -101  -132  -113    49    94   -52
11688    5946    -76   125  -726  -927   -61  -187    18   -37   105   -55  -100   -41    95    36   -24
12386    4538    100   211  -653  -642   -48  -256    68   -56    -2   -42   -87   -84    16   -31    44
13202    3447    356   303  -587  -691   -28  -336   144  -200    -6   -10   -63   100    97    65    11
14169    2588    570   139  -456  -600    -3  -345    33  -251  -116   -58    42   110   107   222    58
15328    1916    432   -54  -454  -550     0  -329   140  -300  -183  -214   105    71   -98   266   120
16743    1409    402  -178  -438  -423   101  -495   314  -295  -170  -335    -9    -4    -5   287    -6
18505    1014    439  -163  -282  -481   310  -343   363  -387  -169  -288  -126   166   113    41   -61
20757     714    467  -171  -327  -656   552  -338   425  -216  -111  -104  -252   207   -32  -162   -77
23731     488   -299  -498  -386 -1051   922    33   515  -175   219   -20  -110   203  -130   -45   -82
27839     318   -546 -1054    42 -1533  1325   218  1142   -78   135  -163  -114  -211  -271  -224   -79
33877     190   -199 -1117   382 -1782  1357   138  1482   -96  -129   -36   131  -142  -155  -305   122
43629      95   -744 -1730   122 -2079  2049  -438  1747  -287   211   196   159   -65    92  -361    77
62126      34  -1308 -2537  -248 -2646  2367  -179  1874  -117   253    42   -26  -376  -299  -399  -142
