Solstice, F10.7 = 130
radius    N      A10   A11   B11   A20   A21   B21   A22   B22   A30   A31   B31   A32   B32   A33   B33 
 6640  153047  -4922 -2278 -4561 -2321     9   732  -196  -155   578  -221   201   262   379   -52   268
 6648  146344  -4884 -2222 -4563 -2279     2   688  -213  -115   531  -267   211   240   435   -60   260
 6663  136633  -4813 -2154 -4531 -2199   -45   662  -159  -118   507  -256   176   209   368   -90   223
 6686  125629  -4770 -2067 -4459 -2169   -40   664  -140  -173   523  -243   198   189   387  -128   271
 6717  114754  -4628 -2010 -4376 -2103   -89   602  -122  -167   512  -234   175   193   384  -108   227
 6756  104688  -4567 -1942 -4332 -2065  -134   588  -113  -132   508  -229   191   221   362  -116   249
 6803   95579  -4407 -1862 -4235 -2064  -104   571  -114  -122   499  -239   126   206   393  -103   248
 6859   86768  -4239 -1726 -4102 -2047  -122   574   -74  -102   446  -228    88   178   381  -132   197
 6925   78570  -4043 -1613 -3981 -1994  -120   544   -23  -108   411  -201    66   153   364  -121   196
 7000   71054  -3872 -1551 -3847 -1954  -171   511   -38  -127   420  -161    68    92   344  -142   201
 7085   64328  -3702 -1475 -3734 -1914  -168   419   -50   -97   386  -190    23    91   326  -151   196
 7182   57911  -3551 -1398 -3615 -1842  -200   357   -49   -96   409  -168     3    78   335  -142   151
 7290   51870  -3392 -1300 -3420 -1750  -192   333   -53   -78   369  -172     3    76   338  -107    93
 7410   46252  -3125 -1178 -3262 -1697  -166   321   -41   -70   351  -180   -34    60   285  -124    49
 7545   40959  -2960 -1090 -3147 -1603  -172   259    -9   -65   301  -202   -85    34   237   -99    36
 7695   36017  -2692  -993 -3016 -1530  -146   243    -8   -87   255  -238   -90     9   265   -87    51
 7861   31453  -2514  -916 -2806 -1448  -159   229    33   -64   231  -244  -149    57   261   -71    34
 8046   27311  -2288  -787 -2645 -1341  -181   178    53   -93   229  -188   -89    24   249   -59    94
 8252   23499  -2055  -694 -2418 -1214  -140   180    87   -50   207  -193   -46   -59   205   -71    43
 8481   20016  -1819  -609 -2207 -1184   -91   102    54   -69   157  -202   -93   -29   162   -60    37
 8736   16929  -1543  -489 -2062 -1117  -196    62    92   -16   108  -163   -90   -36   133  -109    23
 9021   14245  -1362  -372 -1892 -1045  -220   -19    90   -64    78  -110   -97   -36   108   -47    34
 9340   11870  -1110  -332 -1668  -952  -196    48    74  -104    22  -145     3   -67   104   -74    39
 9698    9834   -889  -230 -1500  -812   -76   -10   121   -79   -79  -123   -45   -62    85    -7   -10
10103    8115   -750  -228 -1254  -783  -124   -38    67   -64    32  -116   -73  -106   127    20   -50
10562    6604   -555  -193 -1115  -763   -72   -23   158  -118    29   -65   -12    -6    97    27    28
11086    5308   -393  -153 -1046  -742   -44   -50   113  -149    49  -165   -18   -31    89     1     3
11688    4232   -257  -160  -731  -759   -90   -37    99     7    80  -148   -87    -6    -4    59    81
12386    3336     63  -138  -655  -650   -41  -179   201   -15   -15   -92   -50   -68   -30    18   -42
13202    2581     -7  -155  -597  -590   -44   -90   270   118    44   -44   -52    33    32    56    90
14169    1995    -91  -132  -410  -547   112   -97   326   127   -68     0   -57    99    92   136   200
15328    1515     52  -172  -270  -541   142    -8   393    70   -90    41   -33   -19   133   138    53
16743    1128   -168  -302  -230  -442   168   -17   412   -26   104   -19   -19   -83   173     5    53
18505     824   -108  -285  -133  -375   253   -48   486   -23    82   -83  -122  -194   106   -45    28
20757     586    236  -277  -101  -453   411  -110   639  -129   -27   -48    57  -111   133   -98    38
23731     402   -226  -414  -182  -650   581   -49   689   -68   -71   -28  -106   -57    59    13    76
27839     263   -606  -869  -135 -1055  1077     1  1048     8   435    25   148   -98   140   -10    62
33877     156   -635 -1179  -317  -958  1174    26  1421  -180   233    82  -128   115   -36  -103    24
43629      81  -1094 -1518  -233 -1392  1620   359  1626  -245   277     0  -166    13   -54   -81   168
62126      29  -1594 -2506  -530 -1631  1982   143  1820    97     0  -302  -202   -90   -82  -194  -131
