                          MAX VALUE     MAX LATITUDE    UP-SLOPE    DOWN-SLOPE
                  SINE   3   -.0146568   -.1103123    .0095689   -.0012418
                  SINE   4   -.0075195   -.1943977    .0202667    .0004149
                  SINE   5   -.0352166    .0058707    .0063682    .0037899
                  SINE   6   -.0143828   -.0703853    .0146708    .0030647
NUMBER    KP=1    CONSTANT   8.2364033  74.6041667    .2031531   -.0978087
                  COSINE 1   -.2463092  -5.0291482    .0023882    .0439549
                  COSINE 2    .0309183  -1.2117782    .0542579   -.0116659
                  COSINE 3    .0624215    .0734319    .0049831   -.0134314
                  COSINE 4    .0067655    .3755086   -.0060284   -.0031075
                  COSINE 5   -.0020184   -.0527220    .0013701    .0022027
                  COSINE 6    .0081971   -.1586503    .0036930    .0023990
                  SINE   1    .0520503    .1852949   -.0405273   -.0084972
                  SINE   2   -.0269135   -.3424098    .0059050    .0052691
                  SINE   3   -.0301697   -.3827283   -.0141138    .0042813
                  SINE   4   -.0024391   -.1890056    .0207311   -.0009604
                  SINE   5   -.0140458    .1369345   -.0033695    .0007219
                  SINE   6    .0108562    .1520455    .0071369   -.0051638
NUMBER    KP=2    CONSTANT   8.2909628  73.2500000    .1784281   -.1040591
                  COSINE 1   -.1762658  -5.1687097   -.0149049    .0375563
                  COSINE 2    .0707887   -.8214932    .0429286   -.0141804
                  COSINE 3    .0578919    .3027581   -.0023471   -.0125446
                  COSINE 4   -.0074973    .3392090    .0070985    .0029161
                  COSINE 5   -.0073355   -.0354935    .0013795    .0017729
                  COSINE 6    .0072606   -.0703854    .0065824    .0019020
                  SINE   1    .0471840    .1283946   -.0389161   -.0017633
                  SINE   2   -.0301195   -.5498457   -.0104279    .0061491
                  SINE   3   -.0115535   -.4734041   -.0140684    .0017381
                  SINE   4   -.0015731   -.2253053    .0123246    .0014039
                  SINE   5   -.0108186   -.0168161    .0048552    .0008384
                  SINE   6   -.0060822    .1248254    .0080072   -.0015754
NUMBER    KP=3    CONSTANT   8.3578268  71.3750000    .1944620   -.0941288
                  COSINE 1   -.1294272  -5.5714716    .0075109    .0347372
                  COSINE 2    .0751993   -.1557649    .0353104   -.0142468
                  COSINE 3    .0198924    .3319712   -.0080685   -.0047589
                  COSINE 4   -.0004569    .0294626    .0058568    .0036599
                  COSINE 5    .0008590   -.2520228    .0018154    .0020201
                  COSINE 6    .0076890   -.1792657    .0058214   -.0020462
                  SINE   1    .0257314   -.0986995   -.0328608    .0033775
                  SINE   2   -.0367547   -.9554075    .0100110    .0099362
                  SINE   3    .0048249   -.4965528    .0137095    .0004723
                  SINE   4    .0122568    .1502035    .0118110   -.0036687
                  SINE   5   -.0027130    .1356316    .0052973   -.0019470
                  SINE   6   -.0169765    .0000000   -.0043098   .0020340
NUMBER    KP=4    CONSTANT   8.3971276  70.0708333    .1796257   -.0926478
                  COSINE 1   -.0748857  -4.5498125   -.0451789    .0155140
                  COSINE 2    .0628215    .3797725   -.0056263   -.0188644
                  COSINE 3    .0205632   -.1284269    .0144340   -.0030768
                  COSINE 4   -.0036976   -.3436211    .0181576    .0017261
                  COSINE 5    .0088733    .0025403   -.0297343   -.0009343
                  COSINE 6   -.0012587    .0230968   -.0006281   -.0003616
                  SINE   1    .0378818    .2644732   -.0633593   -.0002402
                  SINE   2   -.0547457   -.7677660    .0266415    .0111606
                  SINE   3   -.0270750   -.1598880    .0061358    .0003837
                  SINE   4    .0184307    .0460054   -.0140902   -.0026026
                  SINE   5   -.0043656    .0616603   -.0079481   -.0018301
                  SINE   6    .0176435   -.5931432    .0461685    .0050041
NUMBER    KP=5    CONSTANT   8.5047969  68.9166667    .1407376   -.0897284
                  COSINE 1    .0083346  -4.6529356   -.0016084    .0177229
                  COSINE 2    .0003975    .2982035   -.0138547   -.0005569
                  COSINE 3   -.0084703    .3985200   -.0089796   -.0016517
                  COSINE 4    .0282854   -.9717052    .0186920    .0082788
                  COSINE 5    .0586690    .4004649   -.0135471   -.0087578
                  COSINE 6   -.0029402   -.4207092    .0008712    .0016466
                  SINE   1    .0997451  -1.1825856    .0201719    .0073214
                  SINE   2    .0516563  -1.4195980    .0239045    .0095884
                  SINE   3    .0128657   -.2180476    .0259267    .0004367
                  SINE   4    .0177685    .0531464   -.0127650   -.0009010
                  SINE   5   -.0263897    .5072412   -.0010284   -.0013352
                  SINE   6    .0337555   -.5482702   -.0008266    .0035559
NUMBER    KP=6    CONSTANT   8.6517426  66.8229167    .1409136   -.0749910
                  COSINE 1   -.0370451  -4.9876325    .0046305    .0159613
                  COSINE 2   -.0343524   1.0101195   -.0171867    .0008709
                  COSINE 3   -.0218729  -1.2344040   -.0126698    .0038346
                  COSINE 4    .0598460   -.9568701    .0302579    .0030216
                  COSINE 5    .0355728   -.0705667   -.0060640   -.0023803
                  COSINE 6    .0345584   -.3404169   -.0015417    .0005726
                  SINE   1    .1084300    .5693895   -.0023530   -.0064361
                  SINE   2   -.0146683    .0367430    .0054035    .0017862
                  SINE   3   -.0369367   -.4429932    .0174821    .0000208
                  SINE   4    .0076919   -.1803368   -.0096574    .0033954
                  SINE   5   -.0577212    .8665934   -.0218716   -.0001447
                  SINE   6    .0203793   -.7063537   -.0000407    .0016903
HALL      KP=0    CONSTANT   2.7583333  70.9270833    .5430208   -.6710083
                  COSINE 1   -.5603526  -1.4479718   -.3334788    .2535236
                  COSINE 2    .7095907   -.7911263    .2223202   -.1569332
                  COSINE 3    .0604564   -.1704330    .0203252   -.0519584
                  COSINE 4    .1942398   1.0007805    .0388095   -.1086571
                  COSINE 5    .1655698   -.0404724    .1027042    .0169650
                  COSINE 6    .0791731   -.9711485   -.0976908    .0640061
                  SINE   1    .5283606  -1.5744713    .1672962    .2117994
                  SINE   2   -.1088354  -1.1907920   -.0276489   -.1326264
                  SINE   3   -.1276641    .1657324   -.0925705    .1271353
                  SINE   4   -.2912483    .4462761   -.0285336    .0286423
                  SINE   5   -.3695270   -.6442632    .0830744    .1859250
                  SINE   6   -.0735649   -.0981719   -.0663541   -.0236317
HALL      KP=1    CONSTANT   4.8360417  69.6250000   1.0627021   -.9502937
                  COSINE 1    .8434215  -1.8818600    .2952033   -.2177987
                  COSINE 2    .4354745   -.2942536    .0748335    .0016742
                  COSINE 3   -.2749059   -.4034963   -.1029672    .3031466
                  COSINE 4   -.1430014   -.0215684   -.1008671    .2112045
                  COSINE 5    .0553424   -.1111628   -.0477245   -.0793805
                  COSINE 6    .1852824   -.1042102    .0795808   -.0918663
                  SINE   1   1.9244905  -1.3952794    .6840835   -.1842365
                  SINE   2   -.4590670  -1.3282438    .1109565    .1427165
                  SINE   3   -.0486048   -.0968973    .0335025    .0584180
                  SINE   4    .0539422    .0991725    .0764872   -.1026860
                  SINE   5    .0655059   -.1104204    .0118614   -.0378415
                  SINE   6    .0917029    .0272201    .1042123   -.0297088
HALL      KP=2    CONSTANT   7.2189583  69.2187500   1.5508062  -1.3937083
                  COSINE 1   2.2869975  -2.3106173    .8729207   -.3873089
                  COSINE 2    .7658015   -.6651852    .3313611   -.0324994
                  COSINE 3    .0858780   -.3403501    .2991748    .2908475
                  COSINE 4   -.0504954   -.3165834    .6377540    .1813414
                  COSINE 5   -.0715295   -.5789755    .3082071    .0516969
                  COSINE 6    .0325820    .0736875   -.0289491    .0273734
                  SINE   1   2.8989121  -1.6590557    .9542872   -.7229911
                  SINE   2   -.5101666  -1.0118879    .1121867   -.1986246
                  SINE   3    .5489824   -.2062100    .0928020   -.1931953
                  SINE   4    .6240107   -.1703270    .2855607   -.4165769
                  SINE   5    .6830349   -.0976242    .5309347   -.1005444
                  SINE   6    .1596690    .3027230    .2686735   -.1478393
HALL      KP=3    CONSTANT  10.0956250  68.5687500   2.3899479  -1.8148187
                  COSINE 1   4.6945905  -2.5171675   2.1987400   -.5808578
                  COSINE 2   -.1368916  -1.1420728    .8623940    .3096004
                  COSINE 3   -.1602042   -.2289998    .6900643    .3766520
                  COSINE 4    .5540120   -.1730619    .5801013   -.0892347
                  COSINE 5    .9169015   -.6109952    .3801142   -.1280161
                  COSINE 6    .1055958    .5079539    .1477341   -.1104187
                  SINE   1   3.6216916  -2.0819841   1.3043800   -.9819689
                  SINE   2   -.6399891  -1.0413881    .6026834   -.1678922
                  SINE   3   1.0016951    .5261618    .5150961   -.3521850
                  SINE   4    .5015487   -.2260380    .2940746   -.0533188
                  SINE   5   -.0548462    .5490804    .0626488   -.0024139
                  SINE   6    .2895085    .1490361    .1097321   -.0880467
HALL      KP=4    CONSTANT  10.5539583  67.0520833   2.4154562  -1.7039771
                  COSINE 1   5.0368212  -1.4380474   1.8651015   -.7921974
                  COSINE 2  -1.4508298   -.0999283   -.1286010    .1827648
                  COSINE 3   -.3386978   -.2256838    .2897210    .1455383
                  COSINE 4    .7145481    .7854492    .4342100   -.1825706
                  COSINE 5   1.0521712   -.6754360    .1643043   -.1776439
                  COSINE 6    .3106666    .5504117   -.0377262    .0351027
                  SINE   1   3.7795599   -.4695603    .8035522  -1.0630104
                  SINE   2  -2.2036197  -1.4263343   -.0061968    .0007466
                  SINE   3   -.4038805   1.0786975   -.0381278   -.1379479
                  SINE   4    .1877177   -.3410563   -.1786102   -.0955437
                  SINE   5    .3821918    .1441355   -.0286417   -.2698556
                  SINE   6    .7227088    .1732274    .3489599   -.2086555
HALL      KP=5    CONSTANT   9.7808333  67.5479167   1.2953417  -1.2377000
                  COSINE 1   4.0828747   -.8252280    .3205802   -.4608375
                  COSINE 2  -3.0447562    .9037982   -.7337893    .3273742
                  COSINE 3  -1.3303617    .5731158   -.2707783    .1119489
                  COSINE 4   -.2996340    .2322553    .0924913   -.0338068
                  COSINE 5    .5788535   -.2093377    .0271088   -.0558071
                  COSINE 6    .2709488    .5551483   -.0459448    .0901108
                  SINE   1   2.5820114  -1.1411468    .3528058   -.6403901
                  SINE   2  -2.1114761    .0118324   -.4490833    .1414125
                  SINE   3   -.4143120    .2220543   -.1697168    .0110541
                  SINE   4    .2391930   -.3030228    .2391388   -.0583405
                  SINE   5    .5039429    .0011819    .1940858   -.1483512
                  SINE   6   -.1333369   -.2611443   -.0800368   -.0755900
HALL      KP=6    CONSTANT  13.9289583  65.0187500   2.0588917  -2.1786729
                  COSINE 1  10.1588173  -2.4207529   1.4649824   -.9497801
                  COSINE 2  -2.0789625  -1.5525052   -.6865596    .5574923
                  COSINE 3   -.4669589    .3268133   -.0568233   -.3584154
                  COSINE 4    .9080207   -.2252280    .1397604   -.0551213
                  COSINE 5    .4411382   -.5814691   -.2259140    .2615956
                  COSINE 6    .0918056    .6422800   -.1596379    .0511246
                  SINE   1   4.0465757   -.8253996    .9358234   -.6483012
                  SINE   2    .1479905   -.2498451    .1395212   -.8750918
                  SINE   3    .4186253   1.4356406   -.1696164   -.5047729
                  SINE   4   -.1309743  -1.5516421   -.0525527    .2756927
                  SINE   5    .1295592    .9542121    .0239853   -.4123370
                  SINE   6    .3858664   -.4469092    .1524355   -.2234162
PEDERSON  KP=0    CONSTANT   1.9752083  71.7708333    .5717104   -.2543417
                  COSINE 1    .1130936  -2.2547427    .2175173   -.0453745
                  COSINE 2    .3619121  -1.1885288    .1759850   -.0710386
                  COSINE 3    .1148692    .8967821   -.0320229   -.0265617
                  COSINE 4    .1334866    .0952250   -.0744442   -.0462907
                  COSINE 5    .0728649   -.4799590    .0146303   -.0023734
                  COSINE 6    .0020049    .0552412    .0828215    .0190039
                  SINE   1    .4995522  -1.6743230    .1537368   -.1215096
                  SINE   2   -.1902356   -.1058221    .0716203    .0387746
                  SINE   3   -.0952397    .0437346   -.0137312    .0308323
                  SINE   4   -.1536157   -.4250950   -.0814600   -.0029734
                  SINE   5   -.1402175    .5415827   -.1238568   -.0177773
                  SINE   6   -.0439370    .1042100   -.1717793   -.0314532
PEDERSON  KP=1    CONSTANT   3.1712500  70.7500000    .7165729   -.4452604
                  COSINE 1   1.0460200  -2.9196623    .4346830   -.1815297
                  COSINE 2    .1379087   -.7150610    .0467664    .0052956
                  COSINE 3   -.0299421    .3733959   -.0917933    .0789029
                  COSINE 4   -.0749650   -.2896231    .0098491    .0802530
                  COSINE 5   -.0013665   -.2592726    .0242828    .0635638
                  COSINE 6    .1106588    .1088801    .0139084   -.0430246
                  SINE   1    .8085247  -1.8355858    .2766084   -.0593998
                  SINE   2   -.4091995   -.5711044    .0446986    .1262351
                  SINE   3    .1050777   -.1693432    .1006073    .0165674
                  SINE   4   -.0233221   -.3406539    .0850947    .0306373
                  SINE   5    .0288914    .1691063    .0326972   -.0242391
                  SINE   6    .0627288   -.0000000    .0436159   -.0517958
PEDERSON  KP=2    CONSTANT   4.3137500  70.1458333    .8209917   -.6039646
                  COSINE 1   1.9275469  -3.2625586    .4892092   -.2107561
                  COSINE 2    .0964910   -.2705674   -.0435020    .0159070
                  COSINE 3    .1477087    .0958508    .1088144    .1274871
                  COSINE 4   -.1099220   -.6248849    .2465228    .0935024
                  COSINE 5   -.0332367   -.1556599    .1520316    .0343090
                  COSINE 6    .0956958   -.0000002    .0953473   -.0575092
                  SINE   1   1.0182152  -1.7175094    .2547495   -.2152703
                  SINE   2   -.2810904   -.7246931    .0788403    .0275124
                  SINE   3    .3487381   -.4877543    .0806739   -.1309935
                  SINE   4    .1427723   -.2508208    .0395550    .0098114
                  SINE   5    .2053887    .0474664    .1410467    .0260413
                  SINE   6    .0478526   -.0450997    .1486745    .0083321
PEDERSON  KP=3    CONSTANT   5.3681250  69.6000000   1.0638625   -.7238229
                  COSINE 1   2.8279962  -3.7821781    .8834478   -.1338280
                  COSINE 2   -.3187805   -.4009589    .2099942    .1314392
                  COSINE 3    .1640319   -.1429645    .2841189    .0694481
                  COSINE 4    .1400917   -.4882003    .1719627   -.0795906
                  COSINE 5    .2006710    .1241429    .0868618   -.1167266
                  COSINE 6   -.0046307   -.2483964    .0621159    .1370907
                  SINE   1    .9114709  -1.9005839    .2932267   -.0445403
                  SINE   2   -.3668006   -.4507286    .2127840    .0836998
                  SINE   3    .5416129   -.0321750    .1145039   -.2242315
                  SINE   4    .1796916    .2932245    .0013498   -.0529602
                  SINE   5    .0442166    .2336574    .0048137   -.0164184
                  SINE   6    .0762248   -.0668093   -.0120836    .0250792
PEDERSON  KP=4    CONSTANT   5.5833333  68.7708333    .8618917   -.6730812
                  COSINE 1   2.9881179  -3.8715167    .5861567   -.1338858
                  COSINE 2   -.6395703    .4692158   -.1440779    .1079669
                  COSINE 3    .0407904    .4348478   -.0494269   -.0464855
                  COSINE 4    .2289197   -.4089190    .0321022   -.0204007
                  COSINE 5    .1514792    .5260999   -.0304234   -.1015419
                  COSINE 6    .0188512   -.2807399   -.0948005    .0474771
                  SINE   1   1.0235213  -1.5562133    .2829520   -.1686421
                  SINE   2  -1.0883883    .2823293   -.0371388    .1360288
                  SINE   3    .0821190   -.5886884   -.0303181   -.0059638
                  SINE   4    .1444900    .4746813   -.1167050    .0097083
                  SINE   5    .1979488    .2069094   -.0098709   -.1002859
                  SINE   6    .3237463   -.2581899    .0579316   -.0459037
PEDERSON  KP=5    CONSTANT   5.7097917  67.9583333    .6400104   -.5891208
                  COSINE 1   2.7157215  -2.1349113    .2869028   -.1882091
                  COSINE 2  -1.5537595    .4418344   -.2290677    .1826844
                  COSINE 3   -.5065092   -.1738927   -.0529559    .0802309
                  COSINE 4   -.1512489   -.3809010    .0908214    .0307426
                  COSINE 5    .2672217   -.1577935    .0854744   -.0821933
                  COSINE 6    .0343473   -.3491907    .0262790    .0756556
                  SINE   1    .8486314   -.8394362    .1559990   -.1708149
                  SINE   2   -.4712352   -.1761762   -.1165499    .0839000
                  SINE   3    .0009869    .1165620   -.0363228   -.0468929
                  SINE   4    .1603752   -.4240373    .1485710    .0053801
                  SINE   5    .0917441   -.3613390    .0929087    .0116085
                  SINE   6   -.1483726   -.7022501    .0059449    .0570071
PEDERSON  KP=6    CONSTANT   7.4172917  66.4729167    .9703229   -.7516958
                  COSINE 1   5.1378548  -4.5011062    .6465420   -.3948450
                  COSINE 2  -1.1244043    .0542128   -.3786114    .1043948
                  COSINE 3   -.0568033   -.3201861   -.1429368    .0603873
                  COSINE 4    .7238344   -.7941542    .2095081   -.0394841
                  COSINE 5    .4950576   -.1298506    .1466138   -.0799316
                  COSINE 6    .1960477    .0437591   -.0688452    .0538642
                  SINE   1   1.3627671  -1.1403526    .2885864   -.3226968
                  SINE   2   -.4804401   1.3588885    .0097264   -.1102806
                  SINE   3    .2477993   -.3788762   -.0096195   -.1443434
                  SINE   4   -.0053384   -.2815735   -.0565773    .0192470
                  SINE   5   -.0993957    .1621495   -.0179974   -.0414677
                  SINE   6    .2929164   -.0907934    .0712223   -.1096790
