Equatorial Region (ABS(MLAT) < 15 degrees)
==========================================

***************************************************
Lower-band chorus
kp < 2
***************************************************

         MLT          L         B_wave^2
         (h)                    (pT^2)

      2.50000      6.55000      1011.50
      2.50000      6.65000      286.398
      2.50000      6.75000      76.1784
      2.50000      6.85000      7.65202
      2.50000      6.95000   0.00327710
      2.50000      7.05000      99999.0
      2.50000      7.15000      99999.0
      2.50000      7.25000      99999.0
      2.50000      7.35000      99999.0
      2.50000      7.45000      99999.0
      2.50000      7.55000      99999.0
      2.50000      7.65000      99999.0
      2.50000      7.75000      99999.0
      2.50000      7.85000      99999.0
      2.50000      7.95000      99999.0
      3.50000      1.05000      99999.0
      3.50000      1.15000      99999.0
      3.50000      1.25000      99999.0
      3.50000      1.35000      99999.0
      3.50000      1.45000      99999.0
      3.50000      1.55000      99999.0
      3.50000      1.65000      99999.0
      3.50000      1.75000      99999.0
      3.50000      1.85000      99999.0
      3.50000      1.95000      99999.0
      3.50000      2.05000      1.55385
      3.50000      2.15000      1.67126
      3.50000      2.25000      11.7828
      3.50000      2.35000      20.2301
      3.50000      2.45000      22.1633
      3.50000      2.55000      7.04880
      3.50000      2.65000      9.00408
      3.50000      2.75000      2.59732
      3.50000      2.85000      1.75417
      3.50000      2.95000      1.35376
      3.50000      3.05000      1.59001
      3.50000      3.15000      2.50544
      3.50000      3.25000      2.37223
      3.50000      3.35000      5.69377
      3.50000      3.45000      3.98670
      3.50000      3.55000      5.60835
      3.50000      3.65000      6.32971
      3.50000      3.75000      13.4271
      3.50000      3.85000      14.9159
      3.50000      3.95000      19.6995
      3.50000      4.05000      33.3963
      3.50000      4.15000      74.3632
      3.50000      4.25000      77.7535
      3.50000      4.35000      111.562
      3.50000      4.45000      186.706
      3.50000      4.55000      232.622
      3.50000      4.65000      195.171
      3.50000      4.75000      214.420
      3.50000      4.85000      93.5150
      3.50000      4.95000      31.6292
      3.50000      5.05000      20.5976
      3.50000      5.15000      17.2669
      3.50000      5.25000      22.5998
      3.50000      5.35000      22.4435
      3.50000      5.45000      16.5669
      3.50000      5.55000      12.9361
      3.50000      5.65000      12.0134
      3.50000      5.75000      24.1554
      3.50000      5.85000      15.9802
      3.50000      5.95000      42.8017
      3.50000      6.05000      16.2193
      3.50000      6.15000      53.8905
      3.50000      6.25000      156.222
      3.50000      6.35000      124.052
      3.50000      6.45000      35.2911
      3.50000      6.55000      1073.13
      3.50000      6.65000      1194.00
      3.50000      6.75000     0.925063
      3.50000      6.85000      48.8025
